_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000001589;10903;"Бур усиленный (7х50/110 мм; SDS+) Энкор 10903";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Усиленный бур Энкор 10903 является сменной оснасткой для перфораторов с типом патрона SDS+. Его применяют для сверления твердых материалов — бетона, камня и кирпича. Используется как в быту, так и во время строительных работ.;"Характеристики|Диаметр, мм|7
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|110
Характеристики|Устройство|стандарт
Характеристики|Рабочая длина, мм|50
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549056/1200x800/53664093.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549056/1200x800/53664094.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549056/1200x800/53664095.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549056/1200x800/53664096.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549056/1200x800/54339872.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549056/1200x800/54339873.jpg;1;bur-usilennyj-7h50110-mm-sds-enkor-10903
00000001587;10908;"Бур усиленный (7х100/160 мм; SDS+) Энкор 10908";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Усиленный бур Энкор 10908 является сменной оснасткой для перфораторов с типом патрона SDS+. Его применяют для сверления твердых материалов — бетона, камня и кирпича. Используется как в быту, так и во время строительных работ.;"Характеристики|Диаметр, мм|7
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|160
Характеристики|Устройство|стандарт
Характеристики|Рабочая длина, мм|100
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/548998/1200x800/51156215.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/548998/1200x800/54339947.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/548998/1200x800/54339948.jpg;1;bur-usilennyj-7h100160-mm-sds-enkor-10908
00000001588;10914;"Бур усиленный (7х150/210 мм; SDS+) Энкор 10914";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Усиленный бур Энкор 10914 является сменной оснасткой для перфораторов с типом патрона SDS+. Его применяют для сверления твердых материалов — бетона, камня и кирпича. Используется как в быту, так и во время строительных работ.;"Характеристики|Диаметр, мм|7
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|210
Характеристики|Устройство|стандарт
Характеристики|Рабочая длина, мм|150
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549000/1200x800/51156222.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549000/1200x800/51156223.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549000/1200x800/51156224.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549000/1200x800/51156225.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549000/1200x800/54339949.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549000/1200x800/54339950.jpg;1;bur-usilennyj-7h150210-mm-sds-enkor-10914
00000001590;10909;Бур SDS+ усиленный, 8х100/160 мм Энкор 19409;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;;"Характеристики|Диаметр, мм|8
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|160
Характеристики|Рабочая длина, мм|100
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/870289/1200x800/52302461.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/870289/1200x800/52302462.jpg;1;bur-sds-usilennyj-8h100160-mm-enkor-19409
00000007022;71005;"Бур (8x110 мм; SDS-plus) по бетону Matrix 71005";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;MATRIX;Бур Matrix 71005 применяется в перфораторах с системой крепления SDS-plus для сверления твердых материалов. Наконечник оснастки изготовлен из стали ВК8, имеет специальную заточку. Конструкция с двухзаходной усиленной спиралью позволяет оптимально отводить пыль и предотвращает скапливание отходов в канавках. Стержень оснастки выполнен из качественной стали марки 40Х и проходит специальную термическую обработку. При установке в патрон хвостовик необходимо смазывать.;"Характеристики|Диаметр, мм|8
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|110
Характеристики|Рабочая длина, мм|60
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/675123/1200x800/51084013.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/675123/1200x800/51084014.jpg;1;bur-8x110-mm-sds-plus-po-betonu-matrix-71005
00000001591;10915;"Бур усиленный (8х150/210 мм; SDS+) Энкор 10915";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Усиленный бур Энкор 10915 является сменной оснасткой для перфораторов с типом патрона SDS+. Его применяют для сверления твердых материалов — бетона, камня и кирпича. Используется как в быту, так и во время строительных работ.;"Характеристики|Диаметр, мм|8
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|210
Характеристики|Устройство|стандарт
Характеристики|Рабочая длина, мм|150
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549002/1200x800/51066677.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549002/1200x800/51066678.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549002/1200x800/52955300.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549002/1200x800/52955301.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549002/1200x800/54339927.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/549002/1200x800/54339928.jpg;1;bur-usilennyj-8h150210-mm-sds-enkor-10915
00000001592;10924;"Бур SDS-plus усиленный (8 мм; 200 мм; 260 мм; 1 шт) Энкор 10924";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Бур Энкор 10924 предназначен для перфораторов с патроном SDS-plus. Поверхность сверла спиралевидная и имеет усиленное поверхностное уплотнение, что позволяет выполнять отверстия с большой точностью. Трение при работе данной оснасткой минимально, поэтому срок службы весьма продолжителен. Сверлильная пыль быстро отводится, делая работу наиболее комфортной. Идеально подходит для бурения отверстий во всех типах бетона и большинстве видов камней.;"Характеристики|Диаметр, мм|8
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|260
Характеристики|Устройство|S4L
Характеристики|Рабочая длина, мм|200
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/51066682.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/52863188.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/51066683.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/52863189.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/52863190.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/52863191.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/54339962.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/546487/1200x800/54339963.jpg;1;bur-sds-plus-usilennyj-8-mm-200-mm-260-mm-1-sht-enkor-10924
00000001593;10934;Бур SDS+ усиленный, 8х250/310 мм Энкор 10934;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;;"Характеристики|Диаметр, мм|8
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|310
Характеристики|Рабочая длина, мм|250
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/870290/1200x800/51563281.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/870290/1200x800/52963191.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/870290/1200x800/52963192.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/870290/1200x800/54340044.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/870290/1200x800/54340045.jpg;1;bur-sds-usilennyj-8h250310-mm-enkor-10934
00000007034;24088;"Бур SDS-max (22 мм; 1000 мм) Энкор 24088";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Бур Энкор 24088 предназначен для перфораторов с патроном SDS-Max.   Сверлильная пыль быстро отводится, делая работу наиболее комфортной.   Идеально подходит для бурения отверстий во всех     типах бетона и   большинстве видов камней. Для того, чтобы увеличить срок службы бура,   его хвостовик необходимо  держать в  чистоте, а при работе использовать   специальную смазку.;"Характеристики|Диаметр, мм|22
Характеристики|Тип хвостовика|SDS-Max
Характеристики|Общая длина, мм|1000
Характеристики|Устройство|Quadro-X
Характеристики|Рабочая длина, мм|840
Характеристики|Количество граней|4
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/547218/1200x800/54341871.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/547218/1200x800/54341872.jpg;1;bur-sds-max-22-mm-1000-mm-enkor-24088
00000007036;24078;"Бур SDS-max (25 мм; 920 мм) Энкор 24078";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Бур Энкор 24078 предназначен для перфораторов с патроном SDS-Max.   Сверлильная пыль быстро отводится, делая работу наиболее комфортной.   Идеально подходит для бурения отверстий во всех     типах бетона и   большинстве видов камней. Для того, чтобы увеличить срок службы бура,   его хвостовик необходимо  держать в  чистоте, а при работе использовать   специальную смазку.;"Характеристики|Диаметр, мм|25
Характеристики|Тип хвостовика|SDS-Max
Характеристики|Общая длина, мм|920
Характеристики|Устройство|Quadro-X
Характеристики|Рабочая длина, мм|760
Характеристики|Количество граней|4
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/547234/1200x800/54341847.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/547234/1200x800/54341848.jpg;1;bur-sds-max-25-mm-920-mm-enkor-24078
00000007040;24081;"Бур SDS-max (32 мм; 920 мм) Энкор 24081";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Энкор;Бур Энкор 24081 предназначен для перфораторов с патроном SDS-Max. Сверлильная пыль быстро отводится, делая работу наиболее комфортной. Идеально подходит для бурения отверстий во всех типах бетона и большинстве видов камней. Для того, чтобы увеличить срок службы бура, его хвостовик необходимо держать в чистоте, а при работе использовать специальную смазку.;"Характеристики|Диаметр, мм|32
Характеристики|Тип хвостовика|SDS-Max
Характеристики|Общая длина, мм|920
Характеристики|Устройство|Quadro-X
Характеристики|Рабочая длина, мм|760
Характеристики|Количество граней|4
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/547231/1200x800/54341887.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/547231/1200x800/54341888.jpg;1;bur-sds-max-32-mm-920-mm-enkor-24081
00000019464;29312-210-10;"Бур (10х210 мм; SDS-plus) СИБИН 29312-210-10";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;Внимание, изображение товара может отличаться от реального! Верные параметры указаны в технических характеристиках товара.;"Характеристики|Диаметр, мм|10
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|210
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325748/1200x800/54160534.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325748/1200x800/54160535.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325748/1200x800/54160536.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325748/1200x800/54160537.jpg;1;bur-10h210-mm-sds-plus-sibin-29312-210-10
00000019466;29312-260-10;"Бур (10х260 мм; SDS-plus) СИБИН 29312-260-10";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;Внимание, изображение товара может отличаться от реального! Верные параметры указаны в технических характеристиках товара.;"Характеристики|Диаметр, мм|10
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|260
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325761/1200x800/51855982.jpg;1;bur-10h260-mm-sds-plus-sibin-29312-260-10
00000019467;29312-310-10;"Бур (10х310 мм; SDS-plus) СИБИН 29312-310-10";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;Внимание, изображение товара может отличаться от реального! Верные параметры указаны в технических характеристиках товара.;"Характеристики|Диаметр, мм|10
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|310
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325751/1200x800/52478898.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325751/1200x800/52478899.jpg;1;bur-10h310-mm-sds-plus-sibin-29312-310-10
00000019462;29312-160-12;"Бур (12х160 мм; SDS-plus) СИБИН 29312-160-12";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;Внимание, изображение товара может отличаться от реального! Верные параметры указаны в технических характеристиках товара.;"Характеристики|Диаметр, мм|12
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|160
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325771/1200x800/52204403.jpg;1;bur-12h160-mm-sds-plus-sibin-29312-160-12
00000019458;29312-110-04;"Бур (4х110 мм; SDS-plus) СИБИН 29312-110-04";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;;"Характеристики|Диаметр, мм|4
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|110
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325747/1200x800/51422729.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325747/1200x800/51422730.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325747/1200x800/51422731.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325747/1200x800/51422732.jpg;1;bur-4h110-mm-sds-plus-sibin-29312-110-04
00000019459;29312-110-06;"Бур (6х110 мм; SDS-plus) СИБИН 29312-110-06";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;;"Характеристики|Диаметр, мм|6
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|110
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325765/1200x800/51936069.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325765/1200x800/51936070.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325765/1200x800/51936071.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325765/1200x800/51936072.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325765/1200x800/bur-6h110-mm-sds-plus-sibin-29312-110-06_33206.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325765/1200x800/bur-6h110-mm-sds-plus-sibin-29312-110-06_33205.jpg;1;bur-6h110-mm-sds-plus-sibin-29312-110-06
00000019460;29312-160-06;"Бур (6х160 мм; SDS-plus) СИБИН 29312-160-06";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;Внимание, изображение товара может отличаться от реального! Верные параметры указаны в технических характеристиках товара.;"Характеристики|Диаметр, мм|6
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|160
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325784/1200x800/51345221.jpg;1;bur-6h160-mm-sds-plus-sibin-29312-160-06
00000019463;29312-210-06;"Бур (6х210 мм; SDS-plus) СИБИН 29312-210-06";Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;Инструменты|Аксессуары для электроинструмента|Буры, пики и зубила;СИБИН;Внимание, изображение товара может отличаться от реального! Верные параметры указаны в технических характеристиках товара.;"Характеристики|Диаметр, мм|6
Характеристики|Тип хвостовика|SDS-plus
Характеристики|Общая длина, мм|210
Характеристики|Количество граней|2
";catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325745/1200x800/53988192.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325745/1200x800/53988193.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325745/1200x800/53988194.jpg,catalog/goods/rashodnye-materialy-i-osnastka/rashodnye-materialy-dlya-instrumenta/1325745/1200x800/53988195.jpg;1;bur-6h210-mm-sds-plus-sibin-29312-210-06
