_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000000065;00065;Ведро СПЕЦ металл, оцинкованное, 9л ВЕД-ОЦ-09;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;;"Характеристики|Тип|хозяйственное
Характеристики|Материал|оцинкованная сталь
Характеристики|Объем|9 л
Характеристики|С крышкой|нет
Характеристики|Цвет|металл
Характеристики|Форма|круглая
Характеристики|Ручки|есть
Характеристики|Накладка на ручке|нет
Характеристики|Носик|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1473343/1200x800/51302289.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1473343/1200x800/54359172.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1473343/1200x800/54359173.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1473343/1200x800/54359174.jpg;1;vedro-spets-metall-otsinkovannoe-9l-ved-ots-09
00000000066;00066;Металлическое оцинкованное ведро 12л СПЕЦ ВЕД-ОЦ-12;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;Металлическое оцинкованное ведро 12л СПЕЦ ВЕД-ОЦ-12 - прочная емкость с ручкой для хозяйственно-бытового использования. Изделие широко распространено для применения на дачных участках и строительных площадках.;"Характеристики|Тип|хозяйственное
Характеристики|Материал|оцинкованная сталь
Характеристики|Объем|12 л
Характеристики|С крышкой|нет
Характеристики|Цвет|металл
Характеристики|Форма|круглая
Характеристики|Накладка на ручке|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789494/1200x800/51852357.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789494/1200x800/56921576.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789494/1200x800/56921582.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789494/1200x800/56921588.jpg;1;metallicheskoe-otsinkovannoe-vedro-12l-spets-ved-ots-12
00000002366;002366;Металлическое оцинкованное ведро 15л СПЕЦ ВЕД-ОЦ-15;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;Металлическое оцинкованное ведро 15л СПЕЦ ВЕД-ОЦ-15 - прочная тара для хранения и переноски сыпучих грузов и жидкостей. Рукоятка надежно зафиксирована на корпусе при помощи специальных проушин.;"Характеристики|Тип|хозяйственное
Характеристики|Материал|оцинкованная сталь
Характеристики|Объем|15 л
Характеристики|С крышкой|нет
Характеристики|Цвет|металл
Характеристики|Форма|круглая
Характеристики|Накладка на ручке|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789495/1200x800/51854101.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789495/1200x800/54361750.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789495/1200x800/54361751.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789495/1200x800/54361752.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/789495/1200x800/54361753.jpg;1;metallicheskoe-otsinkovannoe-vedro-15l-spets-ved-ots-15
00000009200;009200;Строительное круглое пластиковое ведро ЕЗПИ 12 л 4415;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;Строительное круглое пластиковое ведро ЕЗПИ 12 л 4415 предназначается для приготовления строительных смесей и их переноски по рабочей площадке. Изделие выполнено из ударопрочного пластика и оснащено металлической ручкой без накладки. На внутренней стенке ведра есть разметка литража.;"Характеристики|Тип|строительное
Характеристики|Объем|12 л
Характеристики|Материал|пластик
Характеристики|С крышкой|нет
Характеристики|Накладка на ручке|нет
Характеристики|Цвет|черный
Характеристики|Форма|круглая
Характеристики|Габариты без упаковки|310х310х240 мм
Характеристики|Ручки|есть
Характеристики|Носик|нет
Характеристики|Гибкое ведро|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/5025342/1200x800/64891602.jpg;1;stroitelnoe-krugloe-plastikovoe-vedro-ezpi-12-l-4415
00000000069;00069;Строительное круглое пластиковое ведро ЕЗПИ 20 л 4423;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;Строительное круглое пластиковое ведро ЕЗПИ 20 л 4423 предназначается для приготовления строительных смесей и их переноски по рабочей площадке. Изделие выполнено из ударопрочного пластика и оснащено металлической ручкой без накладки. На внутренней стенке ведра есть разметка литража.;"Характеристики|Тип|строительное
Характеристики|Объем|20 л
Характеристики|Материал|пластик
Характеристики|С крышкой|нет
Характеристики|Накладка на ручке|нет
Характеристики|Цвет|черный
Характеристики|Форма|круглая
Характеристики|Габариты без упаковки|370х370х280 мм
Характеристики|Ручки|есть
Характеристики|Носик|нет
Характеристики|Гибкое ведро|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/5025336/1200x800/64891596.jpg;1;stroitelnoe-krugloe-plastikovoe-vedro-ezpi-20-l-4423
00000015425;015425;Строительное ведро Мелодия цвета 12л MN-79-201;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;"Строительное ведро Мелодия цвета 12л MN-79-201 обеспечит удобство работы. Предназначено для приготовления, разведения, а также транспортировки различных лакокрасочных материалов, клеев, строительных растворов и смесей.
Ведро выполнено из ударопрочного пластика. Оснащено пластмассовой ручкой.";"Характеристики|Тип|строительное
Характеристики|Объем|12 л
Характеристики|Материал|пластик
Характеристики|С крышкой|нет
Характеристики|Накладка на ручке|нет
Характеристики|Цвет|черный
Характеристики|Форма|круглая
Характеристики|Ручки|есть
Характеристики|Носик|нет
Характеристики|Гибкое ведро|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1421503/1200x800/51869767.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1421503/1200x800/54359513.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1421503/1200x800/54359514.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1421503/1200x800/54359515.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1421503/1200x800/54359516.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1421503/1200x800/54687005.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1421503/1200x800/54687006.jpg;1;stroitelnoe-vedro-melodija-tsveta-12l-mn-79-201
00000016772;81404;Малярное пластмассовое прямоугольное ведро СИБРТЕХ 8 л 81404;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;Малярное пластмассовое прямоугольное ведро СИБРТЕХ 8 л 81404 подойдет для замешивания в нем строительных смесей, а также переноски и хранения строительных материалов. Емкость выполнена из морозостойкой пластмассы, имеет шкалу в литрах на внутренней стенке. Удобная рукоятка оснащена выемками для пальцев. Объем - 8 литров.;"Характеристики|Тип|для краски
Характеристики|Объем|8 л
Характеристики|Материал|пластик
Характеристики|С крышкой|нет
Характеристики|Накладка на ручке|нет
Характеристики|Цвет|зеленый
Характеристики|Форма|прямоугольная
Характеристики|Ручки|есть
Характеристики|Носик|нет
Характеристики|Гибкое ведро|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/778944/1200x800/51354514.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/778944/1200x800/53210307.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/778944/1200x800/53210308.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/778944/1200x800/53210309.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/778944/1200x800/53210310.jpg;1;maljarnoe-plastmassovoe-prjamougolnoe-vedro-sibrteh-8-l-81404
00000015015;81405;Малярное пластмассовое прямоугольное ведро 14л СИБРТЕХ 81405;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;Малярное пластмассовое прямоугольное ведро 14л СИБРТЕХ 81405 отличается высоким качеством исполнения, материалом для его изготовления служит морозостойкий пластик. Для удобства визуального контроля количества жидкости на внутренней поверхности расположена мерная шкала в литрах.;"Характеристики|Тип|для краски
Характеристики|Объем|14 л
Характеристики|Материал|пластик
Характеристики|С крышкой|нет
Характеристики|Накладка на ручке|нет
Характеристики|Цвет|зеленый
Характеристики|Форма|прямоугольная
Характеристики|Габариты без упаковки|363х275х235 мм
Характеристики|Ручки|есть
Характеристики|Носик|нет
Характеристики|Гибкое ведро|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/783523/1200x800/51461791.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/783523/1200x800/51461792.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/783523/1200x800/53210328.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/783523/1200x800/53210329.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/783523/1200x800/53210330.jpg,catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/783523/1200x800/53210331.jpg;1;maljarnoe-plastmassovoe-prjamougolnoe-vedro-14l-sibrteh-81405
00000000068;00068;Строительное ведро Тара.ру 16 л, круглое, с металлической ручкой, черное 26240;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;"Строительное ведро Тара.ру 16 л, круглое, с металлической ручкой, черное 26240 - незаменимая тара для:

проведения строительных или ремонтных работ любого типа;
ремонта в квартире или большой стройки;
дачи, сада и огорода, даже в офисном или производственном помещении;
склада и гаража (удобно хранить мелкие инструменты или строительные детали и т.п.);
при уборке помещения (для строительного мусора или для воды).";"Характеристики|Тип|строительное
Характеристики|Объем|16 л
Характеристики|Материал|пластик
Характеристики|С крышкой|нет
Характеристики|Накладка на ручке|нет
Характеристики|Цвет|черный
Характеристики|Форма|круглая
Характеристики|Габариты без упаковки|255х260х335 мм
Характеристики|Ручки|есть
Характеристики|Носик|нет
Характеристики|Гибкое ведро|нет
Характеристики|Цвет (рисунок)|без рисунка
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/3503124/1200x800/59501124.jpg;1;stroitelnoe-vedro-tararu-16-l-krugloe-s-metallicheskoj-ruchkoj-chernoe-26240
00000020712;61753;Витые грабли СИБРТЕХ 12 зубьев, 290 мм, нержавеющая сталь, без черенка 61753;Сад|Садовый инвентарь;Сад|Садовый инвентарь;;;"Характеристики|Материал|нержавеющая сталь
Характеристики|Ширина|290 мм
Характеристики|Количество зубов|12 шт
Характеристики|Рукоятка|нет
Характеристики|Диаметр и тип крепления для ручки/черенка|30 мм
Характеристики|Габариты без упаковки|ширина рабочей части 290 мм
";catalog/goods/sadovaya-tehnika-i-instrument/sadovyj-inventar-i-instrument/1208350/1200x800/51229199.jpg;1;vitye-grabli-sibrteh-12-zubev-290-mm-nerzhavejuschaja-stal-bez-cherenka-61753
