_ID_;_MAIN_CATEGORY_;_CATEGORY_;_NAME_;_MODEL_;_SKU_;_MANUFACTURER_;_DESCRIPTION_;_STATUS_;_SEO_KEYWORD_;_ATTRIBUTES_;_PRODUCT_IMAGES_
17379;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-115/650 72/12/3 Вихрь";00000001517;72/12/3;;;1;;;
17380;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/1100 72/12/2 Вихрь";00000004795;УШМ1251100Р;;;1;;;
17381;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/1200 72/12/7 Вихрь";00000014179;УШМ1251200Р;;"<p>Углошлифовальная машина Вихрь УШМ-125/1200Э 72/12/7 применяется для шлифования и зачистки поверхностей, а также для резания деталей из различных материалов. Система электронного регулирования позволяет выбирать оптимальную скорость для выполнения определенного вида задачи: так частота оборотов варьируется от 800 до 12000 оборотов в минуту. Расположенные на металлическом корпусе отверстия вентиляции защищают внутренние узлы от перегрева.Угловая шлифмашина ВИХРЬ УШМ-125/1200Э снабжена защитным кожухом, закрывающим пильный диск, благодаря чему в процессе работы искры и мелкие частицы не попадают на пользователя. Комплектацию устройства дополняет рукоятка, способная фиксироваться в 3 положениях: справа, слева, сверху.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|1200
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|2.3
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17382;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/800 72/12/9 Вихрь";00000017787;72/12/9;;"<p>Углошлифовальная машина Вихрь УШМ-125/800 используется для зачистки, шлифования поверхности, резки материала. Укомплектована электрическим двигателем мощностью 0.8 кВт для надежной производительной работы. Вытянутый корпус обеспечивает более удобное удержание инструмента во время работы. Удобный ползунковый выключатель. Дополнительная боковая рукоятка с возможностью фиксации в двух положениях. Металлический корпус редуктора и качественные комплектующие позволяют увеличить срок эксплуатации инструмента. На корпусе находятся вентиляционные отверстия для защиты рабочего механизма от перегрева. Для быстрой и безопасной замены рабочей оснастки предусмотрена кнопка блокировки шпинделя.<br></p>";1;;"Характеристики|Мощность (Вт)|800
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|2.08
Характеристики|Диаметр диска (мм)|125
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17383;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-125/900 72/12/1 Вихрь";00000001518;72/12/1;;"<p>&nbsp; Особенности С помощью блокировки шпинделя можно быстро заменить насадку.</p><p>Дополнительная рукоятка упрощает пользование углошлифовальной машиной вихрь УШМ-125/900 72/12/1.</p><p>Вентиляционные отверстия - для отвода тепла от двигателя Двухпозиционная клавиша включения для удобства ведения продолжительной по времени работы </p><p>Сравнительно малый вес снижает энергоемкость рабочего процесса</p><p>&nbsp;Защитный кожух </p><p>Технические характеристики </p><p>Номинальная потребляемая мощность: 900 Вт </p><p>Диаметр круга: 125 мм </p><p>Число оборотов холостого хода: 11000 об/мин </p><p>Номинальное напряжение: 220 В </p><p>Частота тока: 50 Гц </p><p>Вес: 2.1 кг </p><p>Комплект поставки:Боковая рукоятка Паспорт Упаковка&nbsp;&nbsp;</p>";1;;"Характеристики|Мощность (Вт)|900
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|2.1
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17384;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-150/1300 72/12/4 Вихрь";00000001519;УШМ1501300Р;;"<p>&nbsp; Угловая шлифмашина Вихрь УШМ-150/1300 72/12/4 оснащена двигателем мощностью 1300 Вт. Для быстрой и легкой смены дисков предусмотрена блокировка шпинделя. Боковая рукоятка позволяет лучше контролировать инструмент во время работы.Диамтер диска составляет 150 мм.Особенности ушма Вихрь УШМ-150/1300 БезопасностьНажатием на кнопку блокируется движение шпинделя, что позволяет безопасно заменить оснастку. НадежностьИнструмент оснащен дополнительной рукояткой для надежного хвата и удержания инструмента во время работы. БезопасностьПильный диск прикрыт плотно прилегающим защитным кожухом для защиты оператора от образующейся в рабочей зоне пыли.Преимущества Высокая мощность; Удобное удержание машины за счет компактности корпуса; Напряжение: 220 В.&nbsp;&nbsp;<br></p>";1;;"Характеристики|Мощность (Вт)|1300
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|3.6
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";
17385;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-150/1400 72/12/8 Вихрь";00000015973;УШМ150/1400Э;;"<p>Вес без упаковки, кг: 2,3 Диаметр диска, мм: 150 Частота вращения, об/мин: 4000 Частота, Гц: 50 Питание: От электросети Мощность, Вт: 1400 Напряжение сети, В: 220 Возможности: фиксация шпинделя, блокировка кнопки включения, доп. рукоятка трехпозиционная Гарантия, мес.: 12 Страна бренда: Россия Страна производства: Китай Вес в упаковке: 2.83 кг Модель: УШМ-150/1400Э Бренд: Вихрь Комплект поставки: Угловая шлифовальная машина 1шт. Боковая рукоятка 1 шт. Защитный кожух 1 шт. Ключ фланцевый 1 шт. Паспорт (инструкция) 1 шт. Упаковка 1 шт.<br></p>";1;;"Характеристики|Мощность (Вт)|1400
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";catalog/products/Углошл._машина_УШМ-150-1400_72-12-8_Вихрь_55d0dd89.jpg
17386;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-150/1400Э 72/12/8 Вихрь";00000015872;УШМ-150-1400Э;;;1;;;
17387;"Инструменты|Электроинструмент|УШМ (болгарки)";"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-180/1800 72/12/5 Вихрь";00000001520;УШМ1801800Р;;"<p>Питание - от электросети Напряжение сети - 220 В Частота - 50 Гц Частота вращения - 7500 об/мин Боковая рукоятка - трехпозиционная Плавный пуск - Есть Фиксация шпинделя - Есть Блокировка кнопки включения - Есть Диаметр шлифовального круга - 180 мм Номинальная мощность - 1800 Вт<br></p>";1;;"Характеристики|Мощность (Вт)|1800
Характеристики|Тип продукта|ушм (болгарка)
Характеристики|Вес нетто (кг)|5.5
Характеристики|Диаметр диска (мм)|180
Характеристики|Бренд|Вихрь
Характеристики|Страна производства|Китай";catalog/products/Углошл._машина_УШМ-180-1800_72-12-5_Вихрь_7d0f77de.jpg
17388;;"Инструменты|Электроинструмент|УШМ (болгарки)";"Углошл. машина УШМ-230/1800 Киров";00000009352;УШМ2301800;;;1;;;
