_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000015255;КПЭ-350;Электрический краскопульт ЗУБР 350 Вт КПЭ-350;Инструменты|Электроинструмент|Краскопульты электрические;Инструменты|Электроинструмент|Краскопульты электрические;ЗУБР;Электрический краскопульт ЗУБР 350 Вт КПЭ-350 помогает наносить различные лакокрасочные материалы максимальной вязкостью 60 DIN/сек. Вертикальное или горизонтальное положение струи выставляется с помощью поворота сопла для удобства ведения работы. Отличительной особенностью модели является система HVLP, которая обеспечивает точное и экономичное распыление.;"Характеристики|Мощность, Вт|350
Характеристики|Длина шланга, м|не требуется
Характеристики|Производительность, л/мин|0,7
Характеристики|Емкость бака, л|0,8
Характеристики|Диаметр сопла, мм|1,8
Характеристики|Принцип работы|воздушный
Характеристики|Способ распыления ЛКМ|HVLP (High Volume Low Pressure)
Характеристики|Max вязкость, DIN|60
Характеристики|Габариты без упаковки, мм|260x120x230
Характеристики|Вес нетто, кг|1,25
Характеристики|Bosch DIY|нет
Характеристики|Тип компрессора|встроенный
Характеристики|Для латексной краски|да
Характеристики|Для краски на водной основе|да
Характеристики|Для лака|да
Характеристики|Для масел|да
Характеристики|Для защитных составов для дерева|да
Характеристики|Для закрепителя краски|да
Характеристики|Для морилки|да
Характеристики|Для пластичных красок|нет
Характеристики|Для грунтовки|нет
Характеристики|Для масляных красок|нет
Характеристики|Для эмалевых красок|нет
Характеристики|Для серебрянки|нет
Характеристики|Для антикоррозионных покрытий|нет
";catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747445/1200x800/51735966.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747445/1200x800/64964118.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747445/1200x800/51735967.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747445/1200x800/51735968.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747445/1200x800/51735969.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747445/1200x800/51735970.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747445/1200x800/51735971.jpg;1;elektricheskij-kraskopult-zubr-350-vt-kpe-350
00000015256;КПЭ-500;Электрический краскопульт ЗУБР 500 Вт КПЭ-500;Инструменты|Электроинструмент|Краскопульты электрические;Инструменты|Электроинструмент|Краскопульты электрические;ЗУБР;"Электрический краскопульт ЗУБР 500 Вт КПЭ-500 служит для распыления красок, лаков и прочих растворимых материалов. Современная технология нанесения исключает затраты на расходные материалы, уменьшает расход и предотвращает образование подтеков.
Благодаря системе HVLP (большой объем, низкое давление) достигается высокая производительность и сниженное туманообразование.
Возможность регулировки расхода позволяет использовать материалы различной вязкости и выполнять любые работы.
Разнесенные компрессор и распылитель уменьшают вибрацию, приходящуюся на руки оператора, что снижает усталость и обеспечивает дополнительный комфорт.";"Характеристики|Мощность, Вт|500
Характеристики|Длина шланга, м|не требуется
Характеристики|Производительность, л/мин|0,8
Характеристики|Емкость бака, л|0,8
Характеристики|Диаметр сопла, мм|2,6
Характеристики|Принцип работы|воздушный
Характеристики|Способ распыления ЛКМ|HVLP (High Volume Low Pressure)
Характеристики|Max вязкость, DIN|100
Характеристики|Габариты без упаковки, мм|280х240х130
Характеристики|Вес нетто, кг|1,4
Характеристики|Bosch DIY|нет
Характеристики|Тип компрессора|встроенный
Характеристики|Для латексной краски|да
Характеристики|Для краски на водной основе|да
Характеристики|Для лака|да
Характеристики|Для масел|да
Характеристики|Для защитных составов для дерева|да
Характеристики|Для закрепителя краски|да
Характеристики|Для морилки|да
Характеристики|Для пластичных красок|да
Характеристики|Для грунтовки|да
Характеристики|Для масляных красок|да
Характеристики|Для эмалевых красок|да
Характеристики|Для серебрянки|да
Характеристики|Для антикоррозионных покрытий|да
";catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/51793887.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/64964136.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/51793888.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/51793889.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/51793890.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/51793891.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/64964142.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/1080804/1200x800/64964148.jpg;1;elektricheskij-kraskopult-zubr-500-vt-kpe-500
00000015257;КПЭ-750;Электрический краскопульт ЗУБР 750 Вт КПЭ-750;Инструменты|Электроинструмент|Краскопульты электрические;Инструменты|Электроинструмент|Краскопульты электрические;ЗУБР;Электрический краскопульт ЗУБР 750 Вт КПЭ-750 оснащен соплом увеличенного диаметра, что обеспечивает высокую производительность. Благодаря системе HVLP, суть которой заключается в большом объеме при низком давлении, достигается точное и экономичное распыление.Разнесенные компрессор и распылитель снижают вес и вибрацию, приходящиеся на руки оператора, что делает его более удобным при покраске больших площадей и на высоте.;"Характеристики|Мощность, Вт|750
Характеристики|Длина шланга, м|4
Характеристики|Производительность, л/мин|0,8
Характеристики|Емкость бака, л|0,8
Характеристики|Диаметр сопла, мм|2,6
Характеристики|Принцип работы|воздушный
Характеристики|Способ распыления ЛКМ|HVLP (High Volume Low Pressure)
Характеристики|Max вязкость, DIN|100
Характеристики|Габариты без упаковки, мм|295x290x470
Характеристики|Вес нетто, кг|4
Характеристики|Bosch DIY|нет
Характеристики|Тип компрессора|отдельно стоящий
Характеристики|Для латексной краски|да
Характеристики|Для краски на водной основе|да
Характеристики|Для лака|да
Характеристики|Для масел|да
Характеристики|Для защитных составов для дерева|да
Характеристики|Для закрепителя краски|да
Характеристики|Для морилки|да
Характеристики|Для пластичных красок|да
Характеристики|Для грунтовки|да
Характеристики|Для масляных красок|да
Характеристики|Для эмалевых красок|да
Характеристики|Для серебрянки|да
Характеристики|Для антикоррозионных покрытий|да
";catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747447/1200x800/51906993.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747447/1200x800/64964130.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747447/1200x800/51906994.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747447/1200x800/51906995.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747447/1200x800/51906996.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747447/1200x800/51906997.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/747447/1200x800/51906998.jpg;1;elektricheskij-kraskopult-zubr-750-vt-kpe-750
00000013932;ЭКП-700В;Электрический краскопульт Вихрь ЭКП-700В 72/17/1;Инструменты|Электроинструмент|Краскопульты электрические;Инструменты|Электроинструмент|Краскопульты электрические;Вихрь;"Электрический краскопульт Вихрь ЭКП-700В 72/17/1 предназначен для распыления лакокрасочных, защитных, дезинфицирующих и других жидких материалов.
Инструментом можно работать длительное время без дозаправки, благодаря вместительному бачку для краски.
Настраиваемое сопло позволяет регулировать направление распыления, делая его прицельным.";"Характеристики|Мощность, Вт|700
Характеристики|Производительность, л/мин|1
Характеристики|Емкость бака, л|0,8
Характеристики|Диаметр сопла, мм|2,6
Характеристики|Принцип работы|воздушный
Характеристики|Способ распыления ЛКМ|HVLP (High Volume Low Pressure)
Характеристики|Max вязкость, DIN|80
Характеристики|Bosch DIY|нет
Характеристики|Тип компрессора|отдельно стоящий
Характеристики|Для латексной краски|да
Характеристики|Для краски на водной основе|да
Характеристики|Для лака|да
Характеристики|Для масел|нет
Характеристики|Для защитных составов для дерева|да
Характеристики|Для закрепителя краски|нет
Характеристики|Для морилки|да
Характеристики|Для пластичных красок|да
Характеристики|Для грунтовки|да
Характеристики|Для масляных красок|да
Характеристики|Для эмалевых красок|да
Характеристики|Для серебрянки|нет
Характеристики|Для антикоррозионных покрытий|нет
";catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/54161953.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/60003828.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/64352125.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/53659170.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/53659171.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/53659172.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/54161954.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/54161955.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/54161956.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/54161957.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/53796624.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/54161958.jpg,catalog/goods/stroitelnyj-instrument/kraskopulty-kraskoraspyliteli-pulverizator/976357/1200x800/54161959.jpg;1;elektricheskij-kraskopult-vihr-ekp-700v-72171
00000021403;35/1100;Электрический ручной вибратор EDON CV-35/1100 1001170105;Инструменты|Электроинструмент|Глубинные вибраторы для бетона;Инструменты|Электроинструмент|Глубинные вибраторы для бетона;EDON;"Электрический ручной вибратор EDON CV-35/1100 1001170105 предназначен для уплотнения бетона, бетонных смесей и железобетона.
Модель используют при изготовлении бетонных и железобетонных конструкций сборного строительства, а также для уплотнения смесей в фундаментах, колоннах и цоколях.
Вибрационное воздействие обеспечивает наиболее эффективное уплотнение, существенно повышая прочность и сокращает время застывания бетонной смеси.
Двигатель вибратора с двойной изоляцией обеспечивает максимальную защиту при работе от сети переменного тока и не требует применения заземления.
Вибратор рассчитан на повторно-кратковременный режим работы с периодом времени: работа/перерыв - 15 мин./ 5 мин.

Длина булавы вибратора, 370.000 мм
Масса вибронаконечника, 3.500 кг
Эффективный диаметр уплотнения, 10 см
Диаметр булавы вибратора, 35.000 мм
Длина вала, 1.500 м
Встроенный преобразователь, нет
Гибкий вал в комплекте, нет (приобретается отдельно)";"Характеристики|Напряжение, В|220
Характеристики|Частота вибрации, виб/мин|10000
Характеристики|Длина кабеля, м|2
Характеристики|Вес нетто, кг|2
Характеристики|Габариты без упаковки, мм|325х85х155
Характеристики|Привод|электрический
Характеристики|Высокочастотный|нет
Характеристики|Частота, Гц|50
Характеристики|Мощность (Вт)|1100
";catalog/goods/stroitelnoe-oborudovanie-i-tehnika/vibrotehnika/1936752/1200x800/53821233.jpg,catalog/goods/stroitelnoe-oborudovanie-i-tehnika/vibrotehnika/1936752/1200x800/53821234.jpg;1;elektricheskij-ruchnoj-vibrator-edon-cv-351100-1001170105
00000021404;35/1500;Электрический стационарный вибратор EDON CV-35/1500 1001170104;Инструменты|Электроинструмент|Глубинные вибраторы для бетона;Инструменты|Электроинструмент|Глубинные вибраторы для бетона;EDON;"Электрический стационарный вибратор EDON CV-35/1500 1001170104 предназначен для уплотнения бетона, бетонных смесей и железобетона.
Модель используют при изготовлении бетонных и железобетонных конструкций сборного строительства, а также для уплотнения смесей в фундаментах, колоннах и цоколях.
Вибрационное воздействие обеспечивает наиболее эффективное уплотнение, существенно повышая прочность и сокращает время застывания бетонной смеси.
Двигатель вибратора с двойной изоляцией обеспечивает максимальную защиту при работе от сети переменного тока и не требует применения заземления.
Вибратор рассчитан на повторно-кратковременный режим работы с периодом времени: работа/перерыв - 15 мин./ 5 мин.

Длина булавы вибратора, 400.000 мм
Масса вибронаконечника, 3.500 кг
Эффективный диаметр уплотнения, 10 см
Диаметр булавы вибратора, 35.000 мм
Длина вала, 4.000 м
Встроенный преобразователь, нет
Гибкий вал в комплекте, нет (приобретается отдельно)";"Характеристики|Напряжение, В|220
Характеристики|Частота вибрации, виб/мин|13000
Характеристики|Длина кабеля, м|2
Характеристики|Вес нетто, кг|10
Характеристики|Габариты без упаковки, мм|690x390x330
Характеристики|Привод|электрический
Характеристики|Высокочастотный|нет
Характеристики|Частота, Гц|50
Характеристики|Мощность (Вт)|1500
";catalog/goods/stroitelnoe-oborudovanie-i-tehnika/vibrotehnika/1936749/1200x800/53821207.jpg;1;elektricheskij-statsionarnyj-vibrator-edon-cv-351500-1001170104
00000015137;ЗГ-135;Электрический гравер ЗУБР ЗГ-135;Инструменты|Электроинструмент|Граверы;Инструменты|Электроинструмент|Граверы;ЗУБР;"Электрический гравер ЗУБР ЗГ-135 помогает шлифовать, полировать, сверлить, фрезеровать и гравировать поверхности из дерева, стали, камня, плитки и т.д.
Благодаря блокировке шпинделя заменить оснастку не составляет труда.
Наружное расположение технического узла позволяет менять угольные щетки быстро и без использования дополнительных инструментов.";"Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|135
Характеристики|Размер цанги, мм|3.2
Характеристики|Частота вращения шпинделя, об/мин|15000-35000
Характеристики|Электронная регулировка оборотов|есть
Характеристики|Длина кабеля, м|1.5
Характеристики|Гибкий вал в комплекте|нет
Характеристики|Комплектация|коробка
Характеристики|Габариты без упаковки, мм|326x60x110
Характеристики|Вес нетто, кг|0,8
Характеристики|Кол-во аксессуаров в комплекте, шт|0
";catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964186.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964187.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964188.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964189.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964190.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964191.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964192.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964193.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964194.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964195.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1288814/1200x800/51964196.jpg;1;elektricheskij-graver-zubr-zg-135
00000009712;Г160ГВ;Электрический гравер Вихрь Г-160ГВ 72/4/2;Инструменты|Электроинструмент|Граверы;Инструменты|Электроинструмент|Граверы;Вихрь;"Электрический гравер Вихрь Г-160ГВ 72/4/2 предназначен для выполнения широкого спектра работ, таких как: резка, сверление, полирование, гравирование, фрезерование и зачистка.
Гибкий вал дает возможность работы в труднодоступных местах.
Предусмотрена возможность быстрой замены щеток без обращения в сервисные центры.";"Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|160
Характеристики|Размер цанги, мм|2.3-3.2
Характеристики|Частота вращения шпинделя, об/мин|9000-34000
Характеристики|Электронная регулировка оборотов|есть
Характеристики|Гибкий вал в комплекте|да
Характеристики|Комплектация|чемодан/кейс
Характеристики|Вес нетто, кг|0,7
";catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655188.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/60008484.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655200.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655206.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655212.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655218.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655224.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655230.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655236.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/55655242.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/51355178.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/51355179.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/976284/1200x800/51355176.jpg;1;elektricheskij-graver-vihr-g-160gv-7242
00000005963;005963;Электрический гравер Ресанта Г-180ЭГ 75/4/1;Инструменты|Электроинструмент|Граверы;Инструменты|Электроинструмент|Граверы;Ресанта;"Электрический гравер Ресанта Г-180ЭГ 75/4/1 предназначен для выполнения различных видов работ: шлифования, гравировки, сверления, фрезерования. С его помощью можно удалить ржавчину, старую краску, заусенцы посл сварки.
Регулируемое число оборотов позволяет подобрать оптимальный режим в зависимости от особенностей материала.
Гибкий вал облегчает работу в местах с ограниченным доступом.
На задней части корпуса предусмотрена петля для подвешивания инструмента.";"Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|180
Характеристики|Размер цанги, мм|2.3-3.2
Характеристики|Частота вращения шпинделя, об/мин|9000-34000
Характеристики|Электронная регулировка оборотов|есть
Характеристики|Длина кабеля, м|2
Характеристики|Гибкий вал в комплекте|да
Характеристики|Комплектация|чемодан/кейс
Характеристики|Вес нетто, кг|0,7
Характеристики|Кол-во аксессуаров в комплекте, шт|35
";catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195979.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/60008892.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195980.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195981.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195982.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/52869382.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/52869383.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/52869384.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195983.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195984.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195985.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195986.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195987.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/52869388.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/1281440/1200x800/54195988.jpg;1;elektricheskij-graver-resanta-g-180eg-7541
00000008103;ГЭ-170ГВ;Гравировальная машина ЭЛЕКТРОПРИБОР ГЭ-170ГВ;Инструменты|Электроинструмент|Граверы;Инструменты|Электроинструмент|Граверы;ЭЛЕКТРОПРИБОР;"Гравировальная машина ЭЛЕКТРОПРИБОР ГЭ-170ГВ представляет собой высококачественный точный инструмент, который при использовании широкого ассортимента насадок может выполнять различные работы на небольших изделиях (заготовках): шлифование, гравировку, фрезерование, отрезание, чистку и полировку.
Гибкий вал, входящий в комплект поставки, ещё больше расширяет границы применения инструмента и позволяет проводить работу с заготовками, расположенными в труднодоступных местах.
Принадлежности (аксессуары) гравёра включают в себя: сменные цанги патрона, свёрла, точильные камни с хвостовиками, насадки (державки) для крепления отрезных, шлифовальных и полировальных кругов (барабанов), фрезы, биты алмазные, щётки и др.
Стопор вала позволяет быстро менять цанги и соответствующие им насадки.";"Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|170
Характеристики|Электронная регулировка оборотов|есть
Характеристики|Длина кабеля, м|1.8
Характеристики|Гибкий вал в комплекте|да
Характеристики|Комплектация|чемодан/кейс
Характеристики|Блокировка кнопки включения|да
Характеристики|Фиксация шпинделя|да
Характеристики|Система стабилизации оборотов|нет
Характеристики|Кол-во аксессуаров в комплекте, шт|40
";catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513505.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513511.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513517.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513523.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513529.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513535.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513541.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513547.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513553.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513559.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513565.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513571.jpg,catalog/goods/stroitelnyj-instrument/gravery-bormashiny/5488555/1200x800/66513577.jpg;1;gravirovalnaja-mashina-elektropribor-ge-170gv
