_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000016029;16029;Дренажный насос Вихрь ДН-1100 68/2/7;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;"Дренажный насос Вихрь ДН-1100 68/2/7 перекачивает загрязненную воду с частицами размером до 35 мм из рек, водоёмов и резервуаров. Используется для орошения и подачи воды с глубины.
Наличие ручки и небольшие габариты устройства обеспечивают удобство транспортировки.
Поплавковый выключатель обеспечивает защиту от сухого хода.";"Характеристики|Высота подъема, м|10
Характеристики|Габариты без упаковки, мм|220х160х390
Характеристики|Глубина погружения, м|8
Характеристики|Мощность, Вт|1100
Характеристики|Производительность, л/мин|258
Характеристики|Трубное соединение, дюйм|внутренняя G1 1/2
Характеристики|Тип|дренажный для грязной воды
Характеристики|Длина кабеля, м|8
Характеристики|Материал корпуса|пластик
Характеристики|Вид|погружной
Характеристики|Забор воды|нижний
Характеристики|Защита от сухого хода|поплавковый выключатель
Характеристики|Мах температура жидкости, °С|35
Характеристики|Соединитель в комплекте|внешняя G1; елочка 1 1/4; елочка 1
Характеристики|Для повышения давления|нет
Характеристики|Давление, атм|1
Характеристики|Класс защиты|IP68
Характеристики|Напряжение, В|220
Характеристики|Допустимый диаметр твердых частиц, мм|35
Характеристики|Серия|ДН
Характеристики|Конструкция|центробежный
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/51342400.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/57728258.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/51342401.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/52869104.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/52869108.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/53699521.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/53660915.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/53699522.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/53660916.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/53660917.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/52869105.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/885145/1200x800/53699523.jpg;1;drenazhnyj-nasos-vihr-dn-1100-6827
00000017704;017704;Дренажный насос Вихрь ДН-350 68/2/8;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;"Дренажный насос Вихрь ДН-350 68/2/8 перекачивает чистую и загрязненную воду с частицами размером до 35 мм. Используется на даче в системах полива, для понижения уровня грунтовых вод..
Поплавковый механизм служит для автоматического включения/выключения.
Патрубок универсального размера позволяет подсоединять различные шланги.
Термопротектор защищает двигатель от перегрева.";"Характеристики|Высота подъема, м|5
Характеристики|Габариты без упаковки, мм|220х160х330
Характеристики|Глубина погружения, м|8
Характеристики|Мощность, Вт|350
Характеристики|Производительность, л/мин|133
Характеристики|Трубное соединение, дюйм|внутренняя G1 1/2
Характеристики|Тип|дренажный для грязной воды
Характеристики|Материал корпуса|пластик
Характеристики|Вид|погружной
Характеристики|Забор воды|нижний
Характеристики|Защита от сухого хода|есть
Характеристики|Мах температура жидкости, °С|35
Характеристики|Соединитель в комплекте|внешняя G1; елочка 1 1/4; елочка 1
Характеристики|Напряжение, В|220
Характеристики|Допустимый диаметр твердых частиц, мм|35
Характеристики|Серия|ДН
Характеристики|Конструкция|центробежный
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/51476955.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/54344851.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53660920.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53660921.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53699567.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53660918.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53660919.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53660922.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/51476956.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53660923.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53897711.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/920183/1200x800/53897712.jpg;1;drenazhnyj-nasos-vihr-dn-350-6828
00000005674;005674;Дренажный насос Вихрь ДН-400 68/2/1;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;Дренажный насос Вихрь ДН-400 используется для откачивания вод из подтопленных помещений или в качестве силового агрегата в системах орошения. Предусмотрен термопротектор для защиты двигателя от перегрева. Устройство само включается/ выключается при высоком/низком уровне воды, благодаря поплавковому механизму. Ударопрочный пластиковый корпус защищает уязвимые узлы от повреждений и не подвержен коррозии.;"Характеристики|Высота подъема, м|8
Характеристики|Глубина погружения, м|8
Характеристики|Мощность, Вт|400
Характеристики|Производительность, л/мин|188
Характеристики|Трубное соединение, дюйм|внутренняя G1 1/2
Характеристики|Тип|дренажный для чистой воды
Характеристики|Длина кабеля, м|8
Характеристики|Материал корпуса|пластик
Характеристики|Вид|погружной
Характеристики|Забор воды|нижний
Характеристики|Защита от сухого хода|поплавковый выключатель
Характеристики|Мах температура жидкости, °С|35
Характеристики|Соединитель в комплекте|внешняя G1; елочка 1 1/4; елочка 1
Характеристики|Материал крыльчатки|пластик
Характеристики|Для повышения давления|нет
Характеристики|Давление, атм|0.8
Характеристики|Напряжение, В|220
Характеристики|Допустимый диаметр твердых частиц, мм|5
Характеристики|Серия|ДН
Характеристики|Конструкция|центробежный
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/55475086.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/54345034.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/55475092.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/55475098.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/55475104.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/55475110.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/53643081.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/55475122.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/51134844.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200239/1200x800/51134841.jpg;1;drenazhnyj-nasos-vihr-dn-400-6821
00000018431;68/2/9;Дренажный насос Вихрь ДН-550 68/2/9;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;"Дренажный насос Вихрь ДН-550 68/2/9 предназначен для осушения затопленных помещений, откачки воды из строительных котлованов и цистерн.
Возможно применение как в стационарном, так и в мобильном режиме для откачки воды, благодаря встроенной ручке для транспортировки.
Способен перекачивать сильно загрязненную воду с допустимым размером частиц до 35 мм.
Для автоматического включения/выключения насос оснащен поплавковым механизмом, что защищает от сухого хода.";"Характеристики|Вес нетто, кг|5,85
Характеристики|Высота подъема, м|8
Характеристики|Габариты без упаковки, мм|460х340х350
Характеристики|Глубина погружения, м|8
Характеристики|Мощность, Вт|550
Характеристики|Производительность, л/мин|217
Характеристики|Трубное соединение, дюйм|внутренняя G1 1/2
Характеристики|Тип|дренажный для грязной воды
Характеристики|Длина кабеля, м|7,5
Характеристики|Материал корпуса|пластик
Характеристики|Вид|погружной
Характеристики|Забор воды|нижний
Характеристики|Защита от сухого хода|поплавковый выключатель
Характеристики|Мах температура жидкости, °С|35
Характеристики|Соединитель в комплекте|внешняя G1 1/2; елочка 1 1/4; елочка 1
Характеристики|Материал крыльчатки|пластик
Характеристики|Для повышения давления|нет
Характеристики|Давление, атм|0.8
Характеристики|Класс защиты|IPX8
Характеристики|Напряжение, В|220
Характеристики|Допустимый диаметр твердых частиц, мм|35
Характеристики|Серия|ДН
Характеристики|Конструкция|центробежный
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/54481500.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/57809792.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/54345045.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/54481501.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/54481502.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/54481503.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/54481504.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/1284135/1200x800/54481505.jpg;1;drenazhnyj-nasos-vihr-dn-550-6829
00000005649;68/2/2;Дренажный насос Вихрь ДН-750 68/2/2;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;Дренажный насос Вихрь ДН-750 используется для откачивания вод из подтопленных помещений или в качестве силового агрегата в системах орошения. Насос оснащен производительным двигателем 750 Вт, в котором предусмотрен датчик для защиты от перегрева. Устройство автоматически включается и выключается при критическом уровне воды, благодаря поплавковому механизму.;"Характеристики|Высота подъема, м|8
Характеристики|Глубина погружения, м|8
Характеристики|Мощность, Вт|750
Характеристики|Производительность, л/мин|255
Характеристики|Трубное соединение, дюйм|внутренняя G1 1/2
Характеристики|Тип|дренажный для грязной воды
Характеристики|Длина кабеля, м|8
Характеристики|Материал корпуса|пластик
Характеристики|Вид|погружной
Характеристики|Забор воды|нижний
Характеристики|Защита от сухого хода|поплавковый выключатель
Характеристики|Мах температура жидкости, °С|35
Характеристики|Соединитель в комплекте|внешняя G1; елочка 1 1/4; елочка 1
Характеристики|Min уровень воды, мм|0
Характеристики|Давление, атм|0.8
Характеристики|Напряжение, В|220
Характеристики|Допустимый диаметр твердых частиц, мм|35
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/51134864.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/54344938.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/51134865.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/51134867.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/53643083.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/53699459.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/53699460.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/53643085.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/53643084.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/200237/1200x800/53643086.jpg;1;drenazhnyj-nasos-vihr-dn-750-6822
00000005650;68/2/3;Дренажный насос Вихрь ДН-900 68/2/3;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;Дренажный насос Вихрь ДН-900 - аппарат, который поможет перекачать воду из затопленного помещения - подвала или погреба. Насос может работать с загрязненной жидкостью. Максимальный диаметр твердых включений в жидкости не должен превышать 35 мм. Установленный двигатель - асинхронный, однофазный с короткозамкнутым ротором. Аппарат способен перемещать до 258 литров жидкости в минуту. Конструкцией предусмотрен внутренний поплавковый механизм.;"Характеристики|Вес нетто, кг|5,7
Характеристики|Высота подъема, м|8
Характеристики|Габариты без упаковки, мм|220х160х370
Характеристики|Глубина погружения, м|8
Характеристики|Мощность, Вт|900
Характеристики|Производительность, л/мин|258
Характеристики|Трубное соединение, дюйм|внутренняя G1 1/2
Характеристики|Тип|дренажный для грязной воды
Характеристики|Материал корпуса|пластик
Характеристики|Вид|погружной
Характеристики|Забор воды|нижний
Характеристики|Защита от сухого хода|поплавковый выключатель
Характеристики|Мах температура жидкости, °С|35
Характеристики|Соединитель в комплекте|внешняя G1; елочка 1 1/4; елочка 1
Характеристики|Для повышения давления|нет
Характеристики|Давление, атм|0.8
Характеристики|Напряжение, В|220
Характеристики|Допустимый диаметр твердых частиц, мм|35
Характеристики|Серия|ДН
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/53660936.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/54344852.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/53660937.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/53660932.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/53660933.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/52105107.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/53660934.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/52105106.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/52105104.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/53660935.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/53660931.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/52105105.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559407/1200x800/52105108.jpg;1;drenazhnyj-nasos-vihr-dn-900-6823
00000005652;005652;Самовсасывающий насос Вихрь ПН-370 68/4/1;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;Поверхностный насос Вихрь ПН-370 может использоваться на садовом участке для организации системы полива. Способен перекачивать до 40 литров жидкости в минуту. Корпус агрегата выполнен из чугуна - прочного материала, который надежно защищает внутренние элементы от внешних воздействий. Переходный фланец - алюминиевый.;"Характеристики|Вид|поверхностный
Характеристики|Тип|самовсасывающий
Характеристики|Высота подъема, м|30
Характеристики|Мах температура жидкости, °С|50
Характеристики|Мощность, Вт|370
Характеристики|Производительность, л/мин|40
Характеристики|Трубное соединение, дюйм|внутренняя G1
Характеристики|Материал помпы|чугун
Характеристики|Защита от сухого хода|нет
Характеристики|Для повышения давления|есть
Характеристики|Соединитель в комплекте|нет
Характеристики|Вес нетто, кг|5,1
Характеристики|Напряжение, В|220
Характеристики|Материал корпуса насоса|чугун
Характеристики|Серия|ПН
Характеристики|Глубина всасывания, м|9
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104413.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/65702677.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52920071.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104414.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/53660856.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104415.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/53660857.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/53660858.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52920072.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52924309.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104416.jpg;1;samovsasyvajuschij-nasos-vihr-pn-370-6841
00000009224;68/4/1;Самовсасывающий насос Вихрь ПН-370 68/4/1;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;Поверхностный насос Вихрь ПН-370 может использоваться на садовом участке для организации системы полива. Способен перекачивать до 40 литров жидкости в минуту. Корпус агрегата выполнен из чугуна - прочного материала, который надежно защищает внутренние элементы от внешних воздействий. Переходный фланец - алюминиевый.;"Характеристики|Вид|поверхностный
Характеристики|Тип|самовсасывающий
Характеристики|Высота подъема, м|30
Характеристики|Мах температура жидкости, °С|50
Характеристики|Мощность, Вт|370
Характеристики|Производительность, л/мин|40
Характеристики|Трубное соединение, дюйм|внутренняя G1
Характеристики|Материал помпы|чугун
Характеристики|Защита от сухого хода|нет
Характеристики|Для повышения давления|есть
Характеристики|Соединитель в комплекте|нет
Характеристики|Вес нетто, кг|5,1
Характеристики|Напряжение, В|220
Характеристики|Материал корпуса насоса|чугун
Характеристики|Серия|ПН
Характеристики|Глубина всасывания, м|9
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104413.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/65702677.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52920071.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104414.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/53660856.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104415.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/53660857.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/53660858.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52920072.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52924309.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/559420/1200x800/52104416.jpg;1;samovsasyvajuschij-nasos-vihr-pn-370-6841
00000012800;12800;Поверхностный самовсасывающий насос Вихрь ПН-650 68/4/5;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;Поверхностный насос Вихрь ПН-650 68/4/5 применяется для организации системы полива и осушения бассейнов. Перемещает до 55 литров жидкости в минуту. Корпус двигателя изготовлен из прочного чугуна. Насос имеет плоское основание с отверстиями для устойчивого положения при работе.;"Характеристики|Вид|поверхностный
Характеристики|Тип|самовсасывающий
Характеристики|Высота подъема, м|45
Характеристики|Мах температура жидкости, °С|35
Характеристики|Мощность, Вт|650
Характеристики|Производительность, л/мин|55
Характеристики|Трубное соединение, дюйм|внутренняя G1
Характеристики|Материал помпы|чугун
Характеристики|Защита от сухого хода|нет
Характеристики|Для повышения давления|есть
Характеристики|Соединитель в комплекте|нет
Характеристики|Напряжение, В|220
Характеристики|Конструкция|вихревой
Характеристики|Серия|ПН
Характеристики|Глубина всасывания, м|9
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/53661008.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/54405393.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/52165928.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/52165927.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/53699816.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/53661009.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/53661010.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/702282/1200x800/53661011.jpg;1;poverhnostnyj-samovsasyvajuschij-nasos-vihr-pn-650-6845
00000005653;005653;Скважинный насос Вихрь СН-100В 68/3/5;Водоснабжение|Насосы|Насосы для повышение давления воды;Водоснабжение|Насосы|Насосы для повышение давления воды;Вихрь;Скважинный насос Вихрь СН-100B 68/3/5 - это мощный агрегат для подачи воды в здания, полива и орошения садов и клумб. Рекомендуется использовать для перекачки чистой воды с загрязнением не более 40г/м.куб. Для увеличения срока службы в качестве материала корпуса  используется нержавеющая сталь, а насосная часть сделана из хрома. Насос оснащен длинным шнуром питания (20 м).;"Характеристики|Высота подъема, м|100
Характеристики|Глубина погружения, м|35
Характеристики|Мощность, Вт|1100
Характеристики|Производительность, л/мин|40
Характеристики|Трубное соединение, дюйм|внутренняя G1
Характеристики|Диаметр насоса, мм|102
Характеристики|Длина кабеля, м|20
Характеристики|Материал корпуса|нержавеющая сталь
Характеристики|Тип|скважинный
Характеристики|Вид|погружной
Характеристики|Забор воды|верхний
Характеристики|Защита от сухого хода|нет
Характеристики|Мах температура жидкости, °С|35
Характеристики|Min уровень воды, мм|600
Характеристики|Соединитель в комплекте|нет
Характеристики|Для повышения давления|нет
Характеристики|Частота, Гц|50
Характеристики|Давление, атм|10
Характеристики|Класс защиты|IPX8
Характеристики|Напряжение, В|220
Характеристики|Min допустимый диаметр скважины, мм|102
Характеристики|Серия|СН
Характеристики|Конструкция|винтовой
";catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/51161302.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/66116167.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/51161303.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/52924186.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/52920165.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/52920166.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/53660905.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/53660906.jpg,catalog/goods/sadovaya-tehnika-i-instrument/nasosy/506721/1200x800/53660907.jpg;1;skvazhinnyj-nasos-vihr-sn-100v-6835
