_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000015155;ЗД-П421 ЭР;Дрель ЗУБР ПРОФЕССИОНАЛ ЗД-П421 ЭР;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;"Дрель ЗУБР ПРОФЕССИОНАЛ ЗД-П421 ЭР обладает надежной конструкцией. Применяется для точного сверления отверстий в различных материалах. Также имеется возможность заворачивания крепежных изделий при установке соответствующей оснастки.
Быстрозажимной патрон позволяет легко и быстро менять аксессуары.
Фиксация выключателя во включенном положении обеспечивает удобство при продолжительной работе.
Предусмотрена регулировка оборотов - от малых (для аккуратного засверливания) до высоких (для быстрого сверления).";"Характеристики|Тип инструмента|дрель безударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|420
Характеристики|Тип патрона|быстрозажимной
Характеристики|Max размер патрона, мм|10
Характеристики|Крепление патрона|3/8
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Габариты без упаковки, мм|258x255x70
Характеристики|Вес нетто, кг|1,3
Характеристики|Размер патрона, мм|0.8-10
Характеристики|Частота вращения шпинделя, об/мин|0-3300
Характеристики|Плавный пуск|да
Характеристики|Морозоустойчивый кабель|да
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Автоматически отключающиеся при износе щетки|нет
Характеристики|Комплектация|коробка
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118249.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118250.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118251.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118252.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118253.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118257.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118258.jpg;1;drel-zubr-professional-zd-p421-er
00000006398;ЗД-П550 ЭР;Дрель Зубр ПРОФЕССИОНАЛ ЗД-П550 ЭР;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;"Дрель Зубр ПРОФЕССИОНАЛ ЗД-П550 ЭР применяется для сверления отверстий в древесине и металле, а так же заворачивания крепежа. При оснащении соответствующими насадками возможно перемешивание ЛКМ.
Подшипники в опорах шпинделя позволяют производить точное сверление отверстий сверлами 3 мм и менее.
Конструкция редуктора без промщита значительно облегчает вес инструмента.
Фиксация выключателя во включенном положении обеспечивает удобство при продолжительной работе.
Благодаря встроенной клипсе дрель можно закрепить на поясе.";"Характеристики|Тип инструмента|дрель безударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|550
Характеристики|Тип патрона|ключевой
Характеристики|Max размер патрона, мм|13
Характеристики|Крепление патрона|1/2
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Габариты без упаковки, мм|270x280x80
Характеристики|Вес нетто, кг|1,7
Характеристики|Размер патрона, мм|1.5-13
Характеристики|Частота вращения шпинделя, об/мин|0-3000
Характеристики|Плавный пуск|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Автоматически отключающиеся при износе щетки|есть
Характеристики|Комплектация|коробка
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735244.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735245.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735246.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735247.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735248.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735249.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735250.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735251.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735252.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735253.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/1104548/1200x800/51735254.jpg;1;drel-zubr-professional-zd-p550-er
00000015149;ЗД-420ЭРМ2;Дрель ЗУБР ПРОФЕССИОНАЛ ЗД-П421 ЭР;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;"Дрель ЗУБР ПРОФЕССИОНАЛ ЗД-П421 ЭР обладает надежной конструкцией. Применяется для точного сверления отверстий в различных материалах. Также имеется возможность заворачивания крепежных изделий при установке соответствующей оснастки.
Быстрозажимной патрон позволяет легко и быстро менять аксессуары.
Фиксация выключателя во включенном положении обеспечивает удобство при продолжительной работе.
Предусмотрена регулировка оборотов - от малых (для аккуратного засверливания) до высоких (для быстрого сверления).";"Характеристики|Тип инструмента|дрель безударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|420
Характеристики|Тип патрона|быстрозажимной
Характеристики|Max размер патрона, мм|10
Характеристики|Крепление патрона|3/8
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Габариты без упаковки, мм|258x255x70
Характеристики|Вес нетто, кг|1,3
Характеристики|Размер патрона, мм|0.8-10
Характеристики|Частота вращения шпинделя, об/мин|0-3300
Характеристики|Плавный пуск|да
Характеристики|Морозоустойчивый кабель|да
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Автоматически отключающиеся при износе щетки|нет
Характеристики|Комплектация|коробка
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118249.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118250.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118251.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118252.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118253.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118257.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/960903/1200x800/52118258.jpg;1;drel-zubr-professional-zd-p421-er
00000015156;ЗДУ-1100-2 ЭРММ2;Ударная дрель ЗУБР Профессионал 1100 Вт ЗДУ-1100-2 ЭРММ2;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;"Ударная дрель Зубр Профессионал ЗДУ-1100-2 ЭРММ2 - мощный и легкий инструмент с двумя режимами работы и двухскоростным редуктором. Модель имеет дополнительную рукоятку-пенал, в которой можно хранить оснастку. Также она помогает лучше удерживать инструмент во время работы. Металлический корпус редуктора продлевает срок службы дрели. Фиксация клавиши ""Пуск"" делает длительную работу более удобной. Графитовые щетки имеют увеличенный срок службы, ресурс не менее 50 часов.";"Характеристики|Тип инструмента|дрель ударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|1100
Характеристики|Тип патрона|ключевой
Характеристики|Число скоростей|2
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие удара|да
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Max диаметр сверления (металл), мм|16
Характеристики|Мах диаметр сверления (дерево), мм|35
Характеристики|Вес нетто, кг|3,3
Характеристики|Размер патрона, мм|1.500-13.000
Характеристики|Max размер патрона, мм|13
Характеристики|Комплектация|коробка
Характеристики|Частота вращения шпинделя, об/мин|0-1100/2700
Характеристики|Частота ударов, уд/мин|0-27000
Характеристики|Плавный пуск|да
Характеристики|Мах диаметр сверления (бетон), мм|16
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Автоматически отключающиеся при износе щетки|нет
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428081.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428082.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428083.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428084.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428085.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428086.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428087.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428088.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52428089.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52488268.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712905/1200x800/52488269.jpg;1;udarnaja-drel-zubr-professional-1100-vt-zdu-1100-2-ermm2
00000012717;ДУ-810 ЭРМ2;Ударная дрель Зубр МАСТЕР ДУ-810 ЭРМ2;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;Ударная дрель Зубр МАСТЕР ДУ-810 ЭРМ2 применяется для сверления отверстий в дереве, металле и кирпиче. Регулировка числа оборотов позволяет выбрать оптимальную скорость в зависимости от вида работ и материала. На основании сетевого шнура есть специальное крепление для патронного ключа. В комплект входит глубиномер, что позволяет сверлить точные по размерам несквозные отверстия.;"Характеристики|Тип инструмента|дрель ударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|810
Характеристики|Тип патрона|ключевой
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие удара|да
Характеристики|Наличие реверса|да
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Длина кабеля, м|2
Характеристики|Габариты без упаковки, мм|305x75x250
Характеристики|Вес нетто, кг|2
Характеристики|Размер патрона, мм|1.500-13.000
Характеристики|Max размер патрона, мм|13
Характеристики|Комплектация|коробка
Характеристики|Частота вращения шпинделя, об/мин|0-2800
Характеристики|Частота ударов, уд/мин|0-42000
Характеристики|Плавный пуск|да
Характеристики|Мах диаметр сверления (бетон), мм|13
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Автоматически отключающиеся при износе щетки|нет
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122228.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122229.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122230.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122231.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122232.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122233.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122234.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122235.jpg;1;udarnaja-drel-zubr-master-du-810-erm2
00000012546;ДУ-550 ЭР;Ударная дрель Зубр МАСТЕР ДУ-550 ЭР;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;Ударная дрель Зубр МАСТЕР ДУ-550 ЭР работает с такими материалами, как дерево, сталь, кирпич, легкий бетон. Ключевой патрон предусматривает надежное закрепление оснастки. Реверс помогает освободить застрявшее сверло или, например, отвернуть крепко засевший шуруп. Регулировка числа оборотов позволяет подобрать нужную частоту вращения в зависимости от вида работ и материала. Наличие функции удара позволяет сверлить бетон диаметром до 13 мм.;"Характеристики|Тип инструмента|дрель ударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|550
Характеристики|Тип патрона|ключевой
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие удара|да
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Длина кабеля, м|2
Характеристики|Габариты без упаковки, мм|290x75x245
Характеристики|Вес нетто, кг|1,6
Характеристики|Размер патрона, мм|1.500-13.000
Характеристики|Max размер патрона, мм|13
Характеристики|Комплектация|коробка
Характеристики|Частота вращения шпинделя, об/мин|0-3000
Характеристики|Частота ударов, уд/мин|0-48000
Характеристики|Плавный пуск|да
Характеристики|Мах диаметр сверления (бетон), мм|10
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Автоматически отключающиеся при износе щетки|нет
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127538.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127539.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127540.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127541.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127542.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127543.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127544.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127545.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127546.jpg;1;udarnaja-drel-zubr-master-du-550-er
00000021391;ДУ-710 ЭРМ2;Ударная дрель Зубр МАСТЕР ДУ-710 ЭРМ2;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;Ударная дрель Зубр МАСТЕР ДУ-710 ЭРМ2 оснащена дополнительной рукояткой, что обеспечивает максимальный контроль при работе. Режим ударного сверления обеспечивает эффективную работу с твердыми материалами, частота ударов достигает 42000 уд/мин. На основании кабеля расположено специальное крепление для патронного ключа или запасной оснастки.;"Характеристики|Тип инструмента|дрель ударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|710
Характеристики|Тип патрона|ключевой
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие удара|да
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Длина кабеля, м|2
Характеристики|Габариты без упаковки, мм|305x75x250
Характеристики|Вес нетто, кг|1,9
Характеристики|Размер патрона, мм|1.500-13.000
Характеристики|Max размер патрона, мм|13
Характеристики|Комплектация|коробка
Характеристики|Частота вращения шпинделя, об/мин|0-2800
Характеристики|Частота ударов, уд/мин|0-42000
Характеристики|Плавный пуск|да
Характеристики|Мах диаметр сверления (бетон), мм|13
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Автоматически отключающиеся при износе щетки|нет
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763899/1200x800/52131273.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763899/1200x800/52131274.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763899/1200x800/52131275.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763899/1200x800/52131276.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763899/1200x800/52131277.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763899/1200x800/52131278.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763899/1200x800/52131279.jpg;1;udarnaja-drel-zubr-master-du-710-erm2
00000015090;ДУ-810 ЭРМ2;Ударная дрель Зубр МАСТЕР ДУ-810 ЭРМ2;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;Ударная дрель Зубр МАСТЕР ДУ-810 ЭРМ2 применяется для сверления отверстий в дереве, металле и кирпиче. Регулировка числа оборотов позволяет выбрать оптимальную скорость в зависимости от вида работ и материала. На основании сетевого шнура есть специальное крепление для патронного ключа. В комплект входит глубиномер, что позволяет сверлить точные по размерам несквозные отверстия.;"Характеристики|Тип инструмента|дрель ударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|810
Характеристики|Тип патрона|ключевой
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие удара|да
Характеристики|Наличие реверса|да
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Длина кабеля, м|2
Характеристики|Габариты без упаковки, мм|305x75x250
Характеристики|Вес нетто, кг|2
Характеристики|Размер патрона, мм|1.500-13.000
Характеристики|Max размер патрона, мм|13
Характеристики|Комплектация|коробка
Характеристики|Частота вращения шпинделя, об/мин|0-2800
Характеристики|Частота ударов, уд/мин|0-42000
Характеристики|Плавный пуск|да
Характеристики|Мах диаметр сверления (бетон), мм|13
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Автоматически отключающиеся при износе щетки|нет
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122228.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122229.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122230.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122231.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122232.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122233.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122234.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763900/1200x800/52122235.jpg;1;udarnaja-drel-zubr-master-du-810-erm2
00000012716;ДУ-550ЭР;Ударная дрель Зубр МАСТЕР ДУ-550 ЭР;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;Ударная дрель Зубр МАСТЕР ДУ-550 ЭР работает с такими материалами, как дерево, сталь, кирпич, легкий бетон. Ключевой патрон предусматривает надежное закрепление оснастки. Реверс помогает освободить застрявшее сверло или, например, отвернуть крепко засевший шуруп. Регулировка числа оборотов позволяет подобрать нужную частоту вращения в зависимости от вида работ и материала. Наличие функции удара позволяет сверлить бетон диаметром до 13 мм.;"Характеристики|Тип инструмента|дрель ударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|550
Характеристики|Тип патрона|ключевой
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие удара|да
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Длина кабеля, м|2
Характеристики|Габариты без упаковки, мм|290x75x245
Характеристики|Вес нетто, кг|1,6
Характеристики|Размер патрона, мм|1.500-13.000
Характеристики|Max размер патрона, мм|13
Характеристики|Комплектация|коробка
Характеристики|Частота вращения шпинделя, об/мин|0-3000
Характеристики|Частота ударов, уд/мин|0-48000
Характеристики|Плавный пуск|да
Характеристики|Мах диаметр сверления (бетон), мм|10
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Автоматически отключающиеся при износе щетки|нет
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127538.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127539.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127540.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127541.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127542.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127543.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127544.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127545.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/763898/1200x800/52127546.jpg;1;udarnaja-drel-zubr-master-du-550-er
00000013418;ЗДУ-580 ЭРМ2;Ударная дрель Зубр ЗДУ-580 ЭРМ2;Инструменты|Электроинструмент|Дрели;Инструменты|Электроинструмент|Дрели;ЗУБР;Ударная дрель Зубр ЗДУ-580 ЭРМ2, оснащенная ключевым патроном 13 мм, прекрасно подойдет для работ по дому. Благодаря функции сверления с ударом, можно работать с бетоном. Имеется электронная регулировка оборотов, которая увеличивает возможности использования изделия. Дополнительная рукоятка обеспечивает надежное удержание инструмента двумя руками. К тому же в ней можно хранить дополнительную оснастку.;"Характеристики|Тип инструмента|дрель ударная
Характеристики|Тип двигателя|щеточный
Характеристики|Мощность, Вт|580
Характеристики|Тип патрона|ключевой
Характеристики|Число скоростей|1
Характеристики|Регулировка оборотов|есть
Характеристики|Наличие удара|да
Характеристики|Наличие подсветки|нет
Характеристики|Наличие реверса|да
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Мах диаметр сверления (дерево), мм|20
Характеристики|Вес нетто, кг|2
Характеристики|Размер патрона, мм|1.500-13.000
Характеристики|Max размер патрона, мм|13
Характеристики|Комплектация|коробка
Характеристики|Частота вращения шпинделя, об/мин|0-3000
Характеристики|Частота ударов, уд/мин|0-48000
Характеристики|Плавный пуск|да
Характеристики|Мах диаметр сверления (бетон), мм|13
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Индикатор износа щеток|нет
Характеристики|Морозоустойчивый кабель|да
Характеристики|Автоматически отключающиеся при износе щетки|нет
";catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100974.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100975.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100976.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100977.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100978.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100979.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100980.jpg,catalog/goods/stroitelnyj-instrument/dreli-elektricheskie/712899/1200x800/52100981.jpg;1;udarnaja-drel-zubr-zdu-580-erm2
