_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000016367;ЗПМ-38-1100 ЭК;Перфоратор SDS-Max 1100 Вт ЗУБР ЗПМ-38-1100 ЭК;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор Зубр ЗПМ-38-1100 ЭК работает в двух режимах: сверление с ударом и долбление. Патрон SDS-Max позволяет использовать буры больших размеров. Инструмент оснащен электронной регулировкой скорости вращения и частоты ударов - для работы с разными материалами. Благодаря вертикальному расположению двигателя, конструкция перфоратора более компактная. Модель поставляется в кейсе, что решает вопрос хранения и транспортировки;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-max
Характеристики|Мощность, Вт|1100
Характеристики|Количество режимов|2
Характеристики|Max сила удара, Дж|8
Характеристики|Виброзащита|есть
Характеристики|Max диаметр сверления буром (бетон), мм|38
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|да
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|7,6
Характеристики|Сила удара, Дж|8
Характеристики|Частота вращения шпинделя, об/мин|300-600
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|1950-3900
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/710306/1200x800/51268192.jpg,catalog/goods/stroitelnyj-instrument/perforatory/710306/1200x800/51268193.jpg,catalog/goods/stroitelnyj-instrument/perforatory/710306/1200x800/51268194.jpg;1;perforator-sds-max-1100-vt-zubr-zpm-38-1100-ek
00000003411;ЗПМ-40-1100 ЭК;Перфоратор ЗУБР Профессионал 1100 Вт ЗПМ-40-1100 ЭК;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;"Перфоратор ЗУБР Профессионал ЗПМ-40-1100 ЭК работает в двух режимах: сверление с ударом и удар.
Электронная регулировка оборотов помогает выбрать оптимальную скорость для работы в зависимости от плотности материала и диаметра оснастки.
Поддержание оборотов под нагрузкой сохраняет производительность независимо от сложности работы.
Модель поставляется в пластиковом кейсе, что решает вопрос хранения и транспортировки.";"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-max
Характеристики|Мощность, Вт|1100
Характеристики|Количество режимов|2
Характеристики|Max сила удара, Дж|12
Характеристики|Реверс|нет
Характеристики|Виброзащита|есть
Характеристики|Max диаметр сверления буром (бетон), мм|40
Характеристики|Max диаметр сверления коронкой (бетон), мм|90
Характеристики|Плавный пуск|нет
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Длина кабеля, м|4
Характеристики|Морозоустойчивый кабель|нет
Характеристики|Индикатор износа кабеля|есть
Характеристики|Шарнирный кабельный ввод|нет
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|да
Характеристики|Автоотключение при перегреве|нет
Характеристики|Уровень звуковой мощности, дБ|100,3
Характеристики|Уровень звукового давления, дБ|89
Характеристики|Сверление бетон: значение вибрационной эмиссии ah,HD , м/с?|17.457
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Габариты без упаковки, мм|510x353x153
Характеристики|Вес нетто, кг|7
Характеристики|Сила удара, Дж|12
Характеристики|Частота вращения шпинделя, об/мин|0-500
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|0-2800
Характеристики|Max диаметр сверления буром (кирпич), мм|40
Характеристики|Max диаметр сверления коронкой (кирпич), мм|90
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499851.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499852.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499853.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499854.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499855.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499856.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499857.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499858.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499859.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499860.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499861.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499862.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503564/1200x800/52499863.jpg;1;perforator-zubr-professional-1100-vt-zpm-40-1100-ek
00000015218;ЗПМ-40-1250ЭВК;Перфоратор SDS-Max ЗУБР Профессионал ЗПМ-40-1250 ЭВК;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор SDS-Max ЗУБР Профессионал ЗПМ-40-1250 ЭВК имеет два режима работы: сверление с ударом и удар. Он прекрасно подходит для работы в тяжелых условиях. Благодаря патрону SDS-MAX, можно устанавливать профессиональную оснастку, а также быстро менять её в процессе работы. В этой модели есть всё, что необходимо для безопасности, надежности и удобства. Перфоратор поставляется в кейсе, в котором его удобно хранить и транспортировать.;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-max
Характеристики|Мощность, Вт|1250
Характеристики|Количество режимов|2
Характеристики|Max сила удара, Дж|10
Характеристики|Виброзащита|есть
Характеристики|Max диаметр сверления буром (бетон), мм|40
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|да
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|8
Характеристики|Сила удара, Дж|10
Характеристики|Частота вращения шпинделя, об/мин|250-450
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|1400-2800
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327551.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327552.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327553.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327554.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327555.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327556.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327557.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327558.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327559.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327560.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327561.jpg,catalog/goods/stroitelnyj-instrument/perforatory/711893/1200x800/52327562.jpg;1;perforator-sds-max-zubr-professional-zpm-40-1250-evk
00000015207;ЗП-26-750 ЭК;Перфоратор Зубр МАСТЕР ЗП-26-750 ЭК;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор Зубр МАСТЕР ЗП-26-750 ЭК работает в трех режимах: сверление, сверление с ударом и долбление. Он оснащен патроном SDS-plus, благодаря которому замена оснастки осуществляется быстро и просто.;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-plus
Характеристики|Мощность, Вт|750
Характеристики|Количество режимов|3
Характеристики|Max сила удара, Дж|2,6
Характеристики|Реверс|нет
Характеристики|Виброзащита|нет
Характеристики|Max диаметр сверления буром (бетон), мм|26
Характеристики|Длина кабеля, м|1,5
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|да
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|3,2
Характеристики|Габариты без упаковки, мм|430x305x105
Характеристики|Сила удара, Дж|2.6
Характеристики|Частота вращения шпинделя, об/мин|1000
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|4800
Характеристики|Мах диаметр сверления (дерево), мм|40
Характеристики|Max диаметр сверления (металл), мм|13
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618949.jpg,catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618950.jpg,catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618951.jpg,catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618952.jpg,catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618953.jpg,catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618954.jpg,catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618955.jpg,catalog/goods/stroitelnyj-instrument/perforatory/774279/1200x800/51618956.jpg;1;perforator-zubr-master-zp-26-750-ek
00000015210;ЗПВ-30-900 ВК;Перфоратор ЗУБР 900 Вт ЗПВ-30-900 ВК;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;"Перфоратор ЗУБР ЗПВ-30-900 ВК работает в трех режимах: сверление, сверление с ударом и удар.
Антивибрационная система значительно уменьшает неблагоприятное воздействие вибрации на оператора при длительной работе.
Предохранительная муфта предотвратит поломки двигателя от перегрузки при достижении высокого крутящего момента.
Мягкие накладки на рукоятках способствуют удобному удержанию инструмента и не дают рукам скользить, что важно при продолжительной работе.";"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-plus
Характеристики|Мощность, Вт|900
Характеристики|Количество режимов|3
Характеристики|Max сила удара, Дж|4,2
Характеристики|Реверс|нет
Характеристики|Виброзащита|есть
Характеристики|Max диаметр сверления буром (бетон), мм|30
Характеристики|Max диаметр сверления коронкой (бетон), мм|65
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Плавный пуск|нет
Характеристики|Длина кабеля, м|4
Характеристики|Морозоустойчивый кабель|нет
Характеристики|Индикатор износа кабеля|нет
Характеристики|Шарнирный кабельный ввод|нет
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|да
Характеристики|Автоотключение при перегреве|нет
Характеристики|Уровень звуковой мощности, дБ|105,34
Характеристики|Уровень звукового давления, дБ|94,34
Характеристики|Сверление бетон: значение вибрационной эмиссии ah,HD , м/с?|17.484
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|5,6
Характеристики|Габариты без упаковки, мм|460x350x145
Характеристики|Сила удара, Дж|4.2
Характеристики|Частота вращения шпинделя, об/мин|750
Характеристики|Регулировка частоты вращения|нет
Характеристики|Частота ударов, уд/мин|2800
Характеристики|Мах диаметр сверления (дерево), мм|40
Характеристики|Max диаметр сверления (металл), мм|13
Характеристики|Max диаметр сверления коронкой (кирпич), мм|65
Характеристики|Max диаметр сверления буром (кирпич), мм|30
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/1503273/1200x800/52499249.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503273/1200x800/52499250.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503273/1200x800/52499251.jpg,catalog/goods/stroitelnyj-instrument/perforatory/1503273/1200x800/53336366.jpg;1;perforator-zubr-900-vt-zpv-30-900-vk
00000012556;ЗП-32-1100 К;Перфоратор ЗУБР Профессионал, 1100 Вт ЗП-32-1100 К;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор ЗУБР Профессионал, 1100 Вт ЗП-32-1100 К работает в трех режимах: сверление, сверление с ударом и долбление. Он оснащен функцией реверса для простого извлечения оснастки при заклинивании. Сетевой кабель длиной 4 м дает оператору возможность свободно перемещаться по рабочей площадке. Ограничитель глубины сверления обеспечивает точную работу.;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-plus
Характеристики|Мощность, Вт|1100
Характеристики|Количество режимов|3
Характеристики|Max сила удара, Дж|3,4
Характеристики|Реверс|поворотом щеток
Характеристики|Виброзащита|нет
Характеристики|Max диаметр сверления буром (бетон), мм|32
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Плавный пуск|нет
Характеристики|Длина кабеля, м|4
Характеристики|Морозоустойчивый кабель|есть
Характеристики|Индикатор износа кабеля|нет
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|нет
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|3,4
Характеристики|Габариты без упаковки, мм|430х305х105
Характеристики|Сила удара, Дж|3.4
Характеристики|Частота вращения шпинделя, об/мин|0-920
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|0-5100
Характеристики|Мах диаметр сверления (дерево), мм|32
Характеристики|Max диаметр сверления (металл), мм|13
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259801.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/64091430.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259802.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259803.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259804.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259805.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259806.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259807.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/51259808.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/52488265.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/52488266.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751481/1200x800/52488267.jpg;1;perforator-zubr-professional-1100-vt-zp-32-1100-k
00000015281;П-22-650;Перфоратор ЗУБР МАСТЕР П-22-650;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор ЗУБР МАСТЕР П-22-650 помогает бурить отверстия, долбить бетон, сверлить отверстия в металле и дереве. Благодаря патрону SDS-plus, смена оснастки не занимает много времени. Предохранительная муфта прекращает передачу крутящего момента при заклинивании бура, что предотвращает поломку инструмента и защищает оператора. В комплект входит ограничитель глубины, с помощью которого можно делать одинаковые отверстия или аккуратно сверлить на заданную глубину.;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-plus
Характеристики|Мощность, Вт|650
Характеристики|Количество режимов|3
Характеристики|Max сила удара, Дж|2,3
Характеристики|Реверс|электронный
Характеристики|Виброзащита|нет
Характеристики|Max диаметр сверления буром (бетон), мм|22
Характеристики|Длина кабеля, м|2
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|нет
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|4,5
Характеристики|Сила удара, Дж|2.3
Характеристики|Частота вращения шпинделя, об/мин|0-870
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|0-4850
Характеристики|Мах диаметр сверления (дерево), мм|26
Характеристики|Max диаметр сверления (металл), мм|10
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/796390/1200x800/52321852.jpg,catalog/goods/stroitelnyj-instrument/perforatory/796390/1200x800/52321853.jpg,catalog/goods/stroitelnyj-instrument/perforatory/796390/1200x800/52321854.jpg,catalog/goods/stroitelnyj-instrument/perforatory/796390/1200x800/52321855.jpg,catalog/goods/stroitelnyj-instrument/perforatory/796390/1200x800/53337039.jpg;1;perforator-zubr-master-p-22-650
00000015208;ЗП-26-800 К;Перфоратор ЗУБР Профессионал SDS Plus ЗП-26-800 К;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор ЗУБР Профессионал SDS Plus ЗП-26-800 К имеет три режима работы: сверление, сверление с ударом, долбление. Также есть режим поворота долота. Выбор одного из них осуществляется при помощи удобного переключателя. Для крепкого хвата предусмотрена дополнительная рукоять. Модель поставляется в кейсе, что решает вопрос хранения и транспортировки.;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-plus
Характеристики|Мощность, Вт|800
Характеристики|Количество режимов|3
Характеристики|Max сила удара, Дж|3
Характеристики|Реверс|поворотом щеток
Характеристики|Виброзащита|нет
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Длина кабеля, м|4
Характеристики|Индикатор износа кабеля|нет
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|нет
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|3,3
Характеристики|Габариты без упаковки, мм|430х305х105
Характеристики|Сила удара, Дж|3
Характеристики|Частота вращения шпинделя, об/мин|0-1200
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|0-4800
Характеристики|Мах диаметр сверления (дерево), мм|30
Характеристики|Max диаметр сверления (металл), мм|13
Характеристики|Max диаметр сверления буром (кирпич), мм|26
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/52020780.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/64091478.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/52020781.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/52020783.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/52020782.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/59059590.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/59059584.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/59059596.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/64091484.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/64091490.jpg,catalog/goods/stroitelnyj-instrument/perforatory/734605/1200x800/64091496.jpg;1;perforator-zubr-professional-sds-plus-zp-26-800-k
00000015209;ЗП-28-800 К;Перфоратор ЗУБР Профессионал SDS Plus ЗП-28-800 К;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор ЗУБР Профессионал SDS Plus ЗП-28-800 К имеет усовершенствованный ударный механизм, что обеспечивает высокую производительность. Дополнительная рукоятка позволяет лучше удерживать инструмент. Предусмотрено три режима работы: сверление, сверление с ударом, долбление. Также есть режим поворота долота. Модель поставляется в кейсе.;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-plus
Характеристики|Мощность, Вт|800
Характеристики|Количество режимов|3
Характеристики|Max сила удара, Дж|3,2
Характеристики|Реверс|поворотом щеток
Характеристики|Виброзащита|нет
Характеристики|Max диаметр сверления буром (бетон), мм|28
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Плавный пуск|нет
Характеристики|Длина кабеля, м|4
Характеристики|Индикатор износа кабеля|нет
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|нет
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|3,45
Характеристики|Габариты без упаковки, мм|430х305х105
Характеристики|Сила удара, Дж|3.2
Характеристики|Частота вращения шпинделя, об/мин|0-1200
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|0-4800
Характеристики|Мах диаметр сверления (дерево), мм|30
Характеристики|Max диаметр сверления (металл), мм|13
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055102.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/64091502.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055103.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055104.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055105.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055106.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055107.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055108.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/52055109.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/64091508.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/64091514.jpg,catalog/goods/stroitelnyj-instrument/perforatory/728955/1200x800/64091520.jpg;1;perforator-zubr-professional-sds-plus-zp-28-800-k
00000015211;ЗП-30-900 К;Перфоратор ЗУБР Профессионал 900 Вт ЗП-30-900 К;Инструменты|Электроинструмент|Перфораторы;Инструменты|Электроинструмент|Перфораторы;ЗУБР;Перфоратор ЗУБР Профессионал 900 Вт ЗП-30-900 К оснащен глубиномером, что позволяет сверлить отверстия заданной глубины. Патрон SDS-Plus обеспечивает быструю и легкую замену оснастки. Функция реверса осуществлена посредством поворота угольных щеток, что способствует их меньшему износу. Благодаря плавной регулировке частоты вращения, можно подстроиться под конкретный тип материала. Сетевой кабель длиной 4 м дает оператору возможность свободно перемещаться по рабочей площадке.;"Характеристики|Страна изготовитель|Китай
Характеристики|Тип двигателя|щеточный
Характеристики|Тип хвостовика|sds-plus
Характеристики|Мощность, Вт|900
Характеристики|Количество режимов|3
Характеристики|Max сила удара, Дж|3,3
Характеристики|Реверс|поворотом щеток
Характеристики|Виброзащита|нет
Характеристики|Max диаметр сверления буром (бетон), мм|30
Характеристики|Легкий доступ к щеткам|нет
Характеристики|Плавный пуск|нет
Характеристики|Длина кабеля, м|4
Характеристики|Морозоустойчивый кабель|есть
Характеристики|Индикатор износа кабеля|нет
Характеристики|Перфоратор с пылесосом|нет
Характеристики|С пыльником|нет
Характеристики|Перфоратор с вертикальным двигателем (бочка)|нет
Характеристики|Сверлильный патрон в комплекте|нет
Характеристики|Вес нетто, кг|3,3
Характеристики|Габариты без упаковки, мм|430х305х105
Характеристики|Сила удара, Дж|3.3
Характеристики|Частота вращения шпинделя, об/мин|0-1000
Характеристики|Регулировка частоты вращения|есть
Характеристики|Частота ударов, уд/мин|0-5500
Характеристики|Мах диаметр сверления (дерево), мм|30
Характеристики|Max диаметр сверления (металл), мм|13
Характеристики|Предохранительная муфта|да
";catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204556.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/64091424.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204557.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204559.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204558.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204560.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204561.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204562.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/51204563.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/52474883.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/52474882.jpg,catalog/goods/stroitelnyj-instrument/perforatory/751479/1200x800/52474884.jpg;1;perforator-zubr-professional-900-vt-zp-30-900-k
