_MODEL_;_SKU_;_NAME_;_CATEGORY_;_MAIN_CATEGORY_;_MANUFACTURER_;_DESCRIPTION_;_ATTRIBUTES_;_PRODUCT_IMAGES_;_STATUS_;_SEO_KEYWORD_
00000015295;УШМ-115-800 М3;Углошлифовальная машина Зубр 115 мм, 800 Вт УШМ-115-800 М3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;"Углошлифовальная машина ЗУБР УШМ-115-800 М3 используется для обработки различных поверхностей и материалов. Имеет компактные размеры, что способствует удобству при работе в местах с ограниченным доступом.
Кожух диска надежно защищает оператора от искр и пыли.
Функция блокировки шпинделя обеспечивает легкую замену оснастки.
Поворотная голова с шагом 90° дает возможность настроить инструмент под левую руку или для резки.";"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|800
Характеристики|Диаметр диска, мм|115
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|11000
Характеристики|Электр. регулировка оборотов|нет
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Защита от непреднамеренного пуска|да
Характеристики|Работа по бетону (камню)|да
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Длина кабеля, м|2
Характеристики|Плавный пуск|нет
Характеристики|Комплектация|коробка
Характеристики|Габариты без упаковки, мм|360х130х105
Характеристики|Вес нетто, кг|2,1
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
Характеристики|Защита от перегрева двигателя|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52424804.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52424805.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52424806.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52424807.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52424808.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52424809.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52477757.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52477758.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080350/1200x800/52477759.jpg;1;ugloshlifovalnaja-mashina-zubr-115-mm-800-vt-ushm-115-800-m3
00000015296;УШМ-125-1100 ТМ3;Углошлифовальная машина Зубр МАСТЕР УШМ-125-1100 ТМ3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;Углошлифовальная машина Зубр МАСТЕР УШМ-125-1100 ТМ3 применяется для шлифования и зачистки поверхностей, а также для резания деталей из различных материалов. Функция блокировки шпинделя обеспечивает быструю, удобную и безопасную замену расходного материала. Удобный ползунковый переключатель фиксируется в положении старт - для продолжительной работы. Легкий доступ к щеткам предусматривает возможность их самостоятельной замены без необходимости обращения в сервисные центры.;"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|1100
Характеристики|Диаметр диска, мм|125
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|3000–11000
Характеристики|Электр. регулировка оборотов|есть
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Защита от непреднамеренного пуска|нет
Характеристики|Работа по бетону (камню)|нет
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Длина кабеля, м|3
Характеристики|Плавный пуск|нет
Характеристики|Комплектация|коробка
Характеристики|Вес нетто, кг|2,5
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|да
Характеристики|Защита от перегрева двигателя|есть
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902415.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902416.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902417.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902418.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902419.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902420.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902421.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756380/1200x800/51902422.jpg;1;ugloshlifovalnaja-mashina-zubr-master-ushm-125-1100-tm3
00000015302;УШМ-125-1200 ЭМЗ;Углошлифовальная машина Зубр 125мм УШМ-125-1200 ЭМ3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;"Углошлифовальная машина ЗУБР 125мм УШМ-125-1200 ЭМ3 универсальна и надежна в эксплуатации. Применяется с целью резки, шлифования, обдирки и зачистки в домашних условиях, гараже, мастерской.
Возможность регулировки оборотов позволяет подобрать оптимальный режим в зависимости от особенностей материалов.
Отличная пылезащита основных узлов обеспечивает долгий срок службы инструмента.
Специальная конструкция щеткодержателя препятствует повреждению коллектора в случае износа щеток.";"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|1200
Характеристики|Диаметр диска, мм|125
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|3000-11000
Характеристики|Электр. регулировка оборотов|есть
Характеристики|Суперфланец|да
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Защита от непреднамеренного пуска|да
Характеристики|Работа по бетону (камню)|да
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Длина кабеля, м|2
Характеристики|Плавный пуск|нет
Характеристики|Комплектация|коробка
Характеристики|Габариты без упаковки, мм|450x120x120
Характеристики|Вес нетто, кг|2,4
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
Характеристики|Защита от перегрева двигателя|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380972.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380973.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380974.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380975.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380976.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380977.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380978.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380979.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380981.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380982.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380983.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1147102/1200x800/51380984.jpg;1;ugloshlifovalnaja-mashina-zubr-125mm-ushm-125-1200-em3
00000015297;УШМ-125-800 М3;Углошлифовальная машина Зубр 125 мм, 800 Вт УШМ-125-800 М3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;"Углошлифовальная машина ЗУБР УШМ-125-800 М3 применяется для обдирки, зачистки и шлифования металла, бетона, камня. Благодаря компактной конструкции удобна для работы в труднодоступных местах.
Кожух диска надежно защищает пользователя от искр и пыли.
Функция блокировки шпинделя обеспечивает легкую замену оснастки.
Поворотная голова с шагом 90° позволяет настроить инструмент под левую руку или для резки.";"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|800
Характеристики|Диаметр диска, мм|125
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|11000
Характеристики|Электр. регулировка оборотов|нет
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Защита от непреднамеренного пуска|да
Характеристики|Работа по бетону (камню)|да
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Длина кабеля, м|2
Характеристики|Плавный пуск|нет
Характеристики|Комплектация|коробка
Характеристики|Габариты без упаковки, мм|360х130х105
Характеристики|Вес нетто, кг|2,1
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
Характеристики|Защита от перегрева двигателя|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52426196.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52426197.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52426198.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52426199.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52426200.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52426201.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52477760.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52477761.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1080351/1200x800/52477762.jpg;1;ugloshlifovalnaja-mashina-zubr-125-mm-800-vt-ushm-125-800-m3
00000015298;УШМ-125-950 М3;Углошлифовальная машина Зубр УШМ-125-950 М3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;Угловая шлифмашина Зубр УШМ-125-950 М3 предназначена для выполнения таких работ, как шлифовка, зачистка поверхностей и резка деталей из различных материалов. Блокировка шпинделя позволяет быстро и безопасно сменить оснастку. Дополнительную рукоятку, в зависимости от предпочтений оператора, можно установить слева или справа. Благодаря самоотключающимся щеткам, двигатель защищен от поломок.;"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|950
Характеристики|Диаметр диска, мм|125
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|11000
Характеристики|Электр. регулировка оборотов|нет
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Защита от непреднамеренного пуска|да
Характеристики|Работа по бетону (камню)|нет
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Наличие виброручки|нет
Характеристики|Плавный пуск|нет
Характеристики|Комплектация|коробка
Характеристики|Габариты без упаковки, мм|360х130х105
Характеристики|Вес нетто, кг|2,6
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960324.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960325.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960326.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960327.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960328.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960329.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960330.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960331.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/796778/1200x800/51960332.jpg;1;uglovaja-shlifmashina-zubr-ushm-125-950-m3
00000015299;УШМ-150-1400 М3;Углошлифовальная машина 150 мм, 1400 Вт ЗУБР УШМ-150-1400 М3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;"Углошлифовальная машина ЗУБР МАСТЕР УШМ-150-1400 М3 предназначена для работы по металлу, камню и бетону. Отличается повышенной мощностью и широким функционалом.
Корпус редуктора выполнен из алюминиевого сплава, что обеспечивает долгий срок службы и лучший отвод тепла.
Поворотная голова с шагом 90° позволяет подстроить инструмент под левую руку - для большего удобства.
Удобная блокировка шпинделя и специальные фланцы упрощают замену диска.";"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|1400
Характеристики|Диаметр диска, мм|150
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|8500
Характеристики|Электр. регулировка оборотов|нет
Характеристики|Суперфланец|да
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Защита от непреднамеренного пуска|да
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Длина кабеля, м|2
Характеристики|Плавный пуск|нет
Характеристики|Габариты без упаковки, мм|490x120x130
Характеристики|Вес нетто, кг|3,7
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
Характеристики|Защита от перегрева двигателя|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/51315301.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/51315302.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/52473563.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/52473564.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/51315303.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/52473565.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/52473566.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/52473567.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/52473568.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/960906/1200x800/52473569.jpg;1;ugloshlifovalnaja-mashina-150-mm-1400-vt-zubr-ushm-150-1400-m3
00000015300;УШМ-180-1800 ПМ3;Углошлифовальная машина Зубр МАСТЕР УШМ-180-1800 ПМ3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;Углошлифовальная машина Зубр МАСТЕР УШМ-180-1800 ПМ3 применяется в строительно-ремонтных работах для резки и шлифовки твердых материалов. Возможна фиксация выключателя во включенном состоянии для продолжительных работ. Поворотная основная рукоятка обеспечивает удобную работу с инструментом в труднодоступных местах. Кожух защищает пользователя от искр и пыли.;"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|1800
Характеристики|Диаметр диска, мм|180
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|0-6000
Характеристики|Электр. регулировка оборотов|нет
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Работа по бетону (камню)|нет
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Плавный пуск|да
Характеристики|Комплектация|коробка
Характеристики|Вес нетто, кг|4,6
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
Характеристики|Защита от перегрева двигателя|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982767.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982768.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982769.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982770.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982771.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982772.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982773.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982774.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756382/1200x800/51982775.jpg;1;ugloshlifovalnaja-mashina-zubr-master-ushm-180-1800-pm3
00000015301;УШМ-230-2100 ПМ3;Углошлифовальная машина Зубр МАСТЕР УШМ-230-2100 ПМ3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);ЗУБР;Углошлифовальная машина Зубр МАСТЕР УШМ-230-2100 ПМ3 предназначена для выполнения таких работ, как шлифовка, зачистка поверхностей и резка деталей из различных материалов. Блокировка шпинделя позволяет безопасно сменить диск. Для начала работы без рывков, в инструменте предусмотрен плавный пуск. Удобный ползунковый переключатель фиксируется в положении старт - для продолжительной работы.;"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|2100
Характеристики|Диаметр диска, мм|230
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|0-6500
Характеристики|Электр. регулировка оборотов|нет
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Работа по бетону (камню)|нет
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Плавный пуск|да
Характеристики|Комплектация|коробка
Характеристики|Вес нетто, кг|5,7
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
Характеристики|Защита от перегрева двигателя|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072344.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072343.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072345.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072346.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072347.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072348.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072349.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/756383/1200x800/52072350.jpg;1;ugloshlifovalnaja-mashina-zubr-master-ushm-230-2100-pm3
00000011205;УШМ 115\650;Углошлифовальная машина Вихрь УШМ-115/650 72/12/3;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);Вихрь;Углошлифовальная машина ВИХРЬ УШМ-115/650 72/12/3 - удобный в использовании электроинструмент, предназначенный для зачистки, шлифования поверхности или резки металла. Машина укомплектована надежным двигателем мощностью 0.65 кВт. Металлический корпус редуктора улучшает отвод тепла. Вытянутый корпус инструмента обеспечивает его надежное удержание во время работы. Боковая рукоятка фиксируется в двух положениях. Диск закрыт специальным кожухом для защиты оператора от травм. Кнопка блокировки шпинделя позволяет быстро и безопасно менять рабочую оснастку.;"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|650
Характеристики|Диаметр диска, мм|115
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|11000
Характеристики|Электр. регулировка оборотов|нет
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Защита от непреднамеренного пуска|нет
Характеристики|Регулировка положения кожуха без инструмента|нет
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Комплектация|коробка
Характеристики|Вес нетто, кг|1,6
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/56310278.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/59925006.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/54127955.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/56310284.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/56310290.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/56310296.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/56310302.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/56310308.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/53654590.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/53654591.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/53654592.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/53654593.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/53654594.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/53654595.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/685687/1200x800/53654596.jpg;1;ugloshlifovalnaja-mashina-vihr-ushm-115650-72123
00000011035;RD-AG130-125ES;Углошлифовальная машина REDVERG RD-AG130-125ES 6614274;Инструменты|Электроинструмент|УШМ (болгарки);Инструменты|Электроинструмент|УШМ (болгарки);REDVERG;"Угловая шлифмашина REDVERG RD-AG130-125ES 6614274 предназначена для зачистки, резки и шлифования металлов без применения воды.
Благодаря блокировке шпинделя заменить шлифовальный диск не составит труда.
Защитный кожух не дает стружке и пыли попасть в глаза и на одежду, что обеспечивает безопасную работу. 
Дополнительная рукоятка упрощает управление инструментом. Установить ее можно слева, справа или сверху, в зависимости от предпочтения оператора.";"Характеристики|Напряжение, В|220
Характеристики|Мощность, Вт|1300
Характеристики|Диаметр диска, мм|125
Характеристики|Посадочный диаметр, мм|22.2
Характеристики|Число оборотов, об/мин|2800-11000
Характеристики|Электр. регулировка оборотов|есть
Характеристики|Суперфланец|нет
Характеристики|Быстрозажимная гайка SDS|нет
Характеристики|Работа по бетону (камню)|нет
Характеристики|Регулировка положения кожуха без инструмента|да
Характеристики|Поддержание постоянных оборотов под нагрузкой|нет
Характеристики|Наличие виброручки|нет
Характеристики|Комплектация|коробка
Характеристики|Вес нетто, кг|3,25
Характеристики|Тип двигателя|щеточный
Характеристики|Диск в комплекте|нет
Характеристики|Резьба шпинделя|М14
Характеристики|Блокировка шпинделя при заклинивании диска|нет
";catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1103884/1200x800/51840256.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1103884/1200x800/51840257.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1103884/1200x800/51840258.jpg,catalog/goods/stroitelnyj-instrument/shlifovalnye-mashinki-shlifmashinki/1103884/1200x800/51840259.jpg;1;uglovaja-shlifmashina-redverg-rd-ag130-125es-6614274
